	Sp7498_pacbio.protein	Sp9509_oxford_v3.proteins	wa7733.asm1v1.ann1.run1.all.std.maker.proteins.func	wa8730.asm201904v2.ann1.proteins
OG0018919		Sp01g00316		
OG0018920		Sp01g00317		
OG0018921		Sp01g00321		
OG0018922		Sp01g00324		
OG0018923		Sp01g00331		
OG0018924		Sp01g00332		
OG0018925		Sp01g00333		
OG0018926		Sp01g00342		
OG0018927		Sp01g00344		
OG0018928		Sp01g00348		
OG0018929		Sp01g00351		
OG0018930		Sp01g00353		
OG0018931		Sp01g00360		
OG0018932		Sp01g00366		
OG0018933		Sp01g00367		
OG0018934		Sp01g00372		
OG0018935		Sp01g00373		
OG0018936		Sp01g00381		
OG0018937		Sp01g00384		
OG0018938		Sp01g00385		
OG0018939		Sp01g00396		
OG0018940		Sp01g00397		
OG0018941		Sp01g00406		
OG0018942		Sp01g00407		
OG0018943		Sp01g00410		
OG0018944		Sp01g00411		
OG0018945		Sp01g00412		
OG0018946		Sp01g00413		
OG0018947		Sp01g00415		
OG0018948		Sp01g00416		
OG0018949		Sp01g00417		
OG0018950		Sp01g00420		
OG0018951		Sp01g00421		
OG0018952		Sp01g00422		
OG0018953		Sp01g00424		
OG0018954		Sp01g00431		
OG0018955		Sp01g00435		
OG0018956		Sp01g00436		
OG0018957		Sp01g00445		
OG0018958		Sp01g00449		
OG0018959		Sp01g00468		
OG0018960		Sp01g00469		
OG0018961		Sp01g00477		
OG0018962		Sp01g00479		
OG0018963		Sp01g00480		
OG0018964		Sp01g00486		
OG0018965		Sp01g00488		
OG0018966		Sp01g00498		
OG0018967		Sp01g00500		
OG0018968		Sp01g00501		
OG0018969		Sp01g00507		
OG0018970		Sp01g00511		
OG0018971		Sp01g00523		
OG0018972		Sp01g00531		
OG0018973		Sp01g00537		
OG0018974		Sp01g00543		
OG0018975		Sp01g00548		
OG0018976		Sp01g00554		
OG0018977		Sp01g00556		
OG0018978		Sp01g00558		
OG0018979		Sp01g00562		
OG0018980		Sp01g00566		
OG0018981		Sp01g00570		
OG0018982		Sp01g00591		
OG0018983		Sp01g00593		
OG0018984		Sp01g00597		
OG0018985		Sp01g00603		
OG0018986		Sp01g00608		
OG0018987		Sp01g00612		
OG0018988		Sp01g00616		
OG0018989		Sp01g00619		
OG0018990		Sp01g00620		
OG0018991		Sp01g00621		
OG0018992		Sp01g00622		
OG0018993		Sp01g00623		
OG0018994		Sp01g00628		
OG0018995		Sp01g00636		
OG0018996		Sp01g00637		
OG0018997		Sp01g00656		
OG0018998		Sp01g00672		
OG0018999		Sp01g00685		
OG0019000		Sp01g00697		
OG0019001		Sp01g00705		
OG0019002		Sp01g00714		
OG0019003		Sp01g00720		
OG0019004		Sp01g00723		
OG0019005		Sp01g00728		
OG0019006		Sp01g00739		
OG0019007		Sp01g00747		
OG0019008		Sp01g00748		
OG0019009		Sp01g00749		
OG0019010		Sp01g00751		
OG0019011		Sp01g00758		
OG0019012		Sp01g00761		
OG0019013		Sp01g00768		
OG0019014		Sp01g00778		
OG0019015		Sp01g00779		
OG0019016		Sp01g00786		
OG0019017		Sp01g00814		
OG0019018		Sp01g00818		
OG0019019		Sp01g00824		
OG0019020		Sp01g00837		
OG0019021		Sp01g00840		
OG0019022		Sp01g00842		
OG0019023		Sp01g00844		
OG0019024		Sp01g00846		
OG0019025		Sp01g00857		
OG0019026		Sp01g00858		
OG0019027		Sp01g00862		
OG0019028		Sp01g00877		
OG0019029		Sp01g00878		
OG0019030		Sp01g00891		
OG0019031		Sp01g00909		
OG0019032		Sp01g00914		
OG0019033		Sp01g00930		
OG0019034		Sp01g00946		
OG0019035		Sp01g00948		
OG0019036		Sp01g00955		
OG0019037		Sp01g00967		
OG0019038		Sp01g00975		
OG0019039		Sp01g00980		
OG0019040		Sp01g00986		
OG0019041		Sp01g00987		
OG0019042		Sp01g00994		
OG0019043		Sp01g00999		
OG0019044		Sp01g01015		
OG0019045		Sp01g01022		
OG0019046		Sp01g01026		
OG0019047		Sp01g01028		
OG0019048		Sp01g01031		
OG0019049		Sp01g01033		
OG0019050		Sp01g01041		
OG0019051		Sp01g01064		
OG0019052		Sp01g01081		
OG0019053		Sp01g01087		
OG0019054		Sp01g01095		
OG0019055		Sp01g01108		
OG0019056		Sp01g01124		
OG0019057		Sp01g01131		
OG0019058		Sp01g01138		
OG0019059		Sp01g01141		
OG0019060		Sp01g01168		
OG0019061		Sp01g01174		
OG0019062		Sp01g01175		
OG0019063		Sp01g01176		
OG0019064		Sp01g01177		
OG0019065		Sp01g01187		
OG0019066		Sp01g01205		
OG0019067		Sp01g01210		
OG0019068		Sp01g01220		
OG0019069		Sp01g01221		
OG0019070		Sp01g01223		
OG0019071		Sp01g01229		
OG0019072		Sp01g01245		
OG0019073		Sp01g01248		
OG0019074		Sp01g01265		
OG0019075		Sp01g01270		
OG0019076		Sp01g01280		
OG0019077		Sp01g01310		
OG0019078		Sp01g01313		
OG0019079		Sp01g01315		
OG0019080		Sp01g01318		
OG0019081		Sp01g01323		
OG0019082		Sp01g01326		
OG0019083		Sp01g01337		
OG0019084		Sp01g01349		
OG0019085		Sp01g01365		
OG0019086		Sp01g01368		
OG0019087		Sp01g01372		
OG0019088		Sp01g01384		
OG0019089		Sp01g01394		
OG0019090		Sp01g01406		
OG0019091		Sp01g01419		
OG0019092		Sp01g01429		
OG0019093		Sp01g01438		
OG0019094		Sp01g01443		
OG0019095		Sp01g01455		
OG0019096		Sp01g01472		
OG0019097		Sp01g01481		
OG0019098		Sp01g01491		
OG0019099		Sp01g01495		
OG0019100		Sp01g01499		
OG0019101		Sp01g01502		
OG0019102		Sp01g01503		
OG0019103		Sp01g01507		
OG0019104		Sp01g01509		
OG0019105		Sp01g01530		
OG0019106		Sp01g01576		
OG0019107		Sp01g01577		
OG0019108		Sp01g01583		
OG0019109		Sp01g01588		
OG0019110		Sp01g01593		
OG0019111		Sp01g01603		
OG0019112		Sp01g01608		
OG0019113		Sp01g01621		
OG0019114		Sp01g01626		
OG0019115		Sp01g01639		
OG0019116		Sp01g01647		
OG0019117		Sp01g01652		
OG0019118		Sp01g01659		
OG0019119		Sp01g01680		
OG0019120		Sp01g01686		
OG0019121		Sp01g01692		
OG0019122		Sp01g01703		
OG0019123		Sp01g01705		
OG0019124		Sp01g01708		
OG0019125		Sp01g01714		
OG0019126		Sp01g01718		
OG0019127		Sp01g01722		
OG0019128		Sp01g01723		
OG0019129		Sp01g01727		
OG0019130		Sp01g01728		
OG0019131		Sp01g01743		
OG0019132		Sp01g01751		
OG0019133		Sp01g01770		
OG0019134		Sp01g01778		
OG0019135		Sp01g01785		
OG0019136		Sp01g01804		
OG0019137		Sp01g01805		
OG0019138		Sp01g01807		
OG0019139		Sp01g01812		
OG0019140		Sp01g01819		
OG0019141		Sp01g01839		
OG0019142		Sp01g01844		
OG0019143		Sp02g00004		
OG0019144		Sp02g00009		
OG0019145		Sp02g00019		
OG0019146		Sp02g00020		
OG0019147		Sp02g00024		
OG0019148		Sp02g00029		
OG0019149		Sp02g00031		
OG0019150		Sp02g00032		
OG0019151		Sp02g00033		
OG0019152		Sp02g00034		
OG0019153		Sp02g00044		
OG0019154		Sp02g00046		
OG0019155		Sp02g00049		
OG0019156		Sp02g00052		
OG0019157		Sp02g00056		
OG0019158		Sp02g00062		
OG0019159		Sp02g00063		
OG0019160		Sp02g00086		
OG0019161		Sp02g00091		
OG0019162		Sp02g00094		
OG0019163		Sp02g00099		
OG0019164		Sp02g00100		
OG0019165		Sp02g00116		
OG0019166		Sp02g00117		
OG0019167		Sp02g00119		
OG0019168		Sp02g00135		
OG0019169		Sp02g00139		
OG0019170		Sp02g00140		
OG0019171		Sp02g00145		
OG0019172		Sp02g00169		
OG0019173		Sp02g00171		
OG0019174		Sp02g00211		
OG0019175		Sp02g00215		
OG0019176		Sp02g00222		
OG0019177		Sp02g00238		
OG0019178		Sp02g00240		
OG0019179		Sp02g00247		
OG0019180		Sp02g00267		
OG0019181		Sp02g00280		
OG0019182		Sp02g00287		
OG0019183		Sp02g00288		
OG0019184		Sp02g00292		
OG0019185		Sp02g00299		
OG0019186		Sp02g00302		
OG0019187		Sp02g00309		
OG0019188		Sp02g00322		
OG0019189		Sp02g00323		
OG0019190		Sp02g00328		
OG0019191		Sp02g00363		
OG0019192		Sp02g00366		
OG0019193		Sp02g00367		
OG0019194		Sp02g00375		
OG0019195		Sp02g00379		
OG0019196		Sp02g00382		
OG0019197		Sp02g00383		
OG0019198		Sp02g00386		
OG0019199		Sp02g00393		
OG0019200		Sp02g00409		
OG0019201		Sp02g00415		
OG0019202		Sp02g00420		
OG0019203		Sp02g00438		
OG0019204		Sp02g00450		
OG0019205		Sp02g00456		
OG0019206		Sp02g00493		
OG0019207		Sp02g00494		
OG0019208		Sp02g00512		
OG0019209		Sp02g00514		
OG0019210		Sp02g00523		
OG0019211		Sp02g00527		
OG0019212		Sp02g00546		
OG0019213		Sp02g00555		
OG0019214		Sp02g00559		
OG0019215		Sp02g00575		
OG0019216		Sp02g00581		
OG0019217		Sp02g00583		
OG0019218		Sp02g00597		
OG0019219		Sp02g00604		
OG0019220		Sp02g00608		
OG0019221		Sp02g00611		
OG0019222		Sp02g00626		
OG0019223		Sp02g00628		
OG0019224		Sp02g00631		
OG0019225		Sp02g00636		
OG0019226		Sp02g00652		
OG0019227		Sp02g00661		
OG0019228		Sp02g00667		
OG0019229		Sp02g00669		
OG0019230		Sp02g00670		
OG0019231		Sp02g00675		
OG0019232		Sp02g00685		
OG0019233		Sp02g00701		
OG0019234		Sp02g00722		
OG0019235		Sp02g00726		
OG0019236		Sp02g00730		
OG0019237		Sp02g00738		
OG0019238		Sp02g00740		
OG0019239		Sp02g00761		
OG0019240		Sp02g00768		
OG0019241		Sp02g00775		
OG0019242		Sp02g00776		
OG0019243		Sp02g00791		
OG0019244		Sp02g00816		
OG0019245		Sp02g00827		
OG0019246		Sp02g00830		
OG0019247		Sp02g00834		
OG0019248		Sp02g00837		
OG0019249		Sp02g00839		
OG0019250		Sp02g00842		
OG0019251		Sp02g00853		
OG0019252		Sp02g00863		
OG0019253		Sp02g00873		
OG0019254		Sp02g00875		
OG0019255		Sp02g00881		
OG0019256		Sp02g00888		
OG0019257		Sp02g00889		
OG0019258		Sp02g00897		
OG0019259		Sp02g00898		
OG0019260		Sp02g00900		
OG0019261		Sp02g00908		
OG0019262		Sp02g00911		
OG0019263		Sp02g00924		
OG0019264		Sp02g00930		
OG0019265		Sp02g00933		
OG0019266		Sp02g00935		
OG0019267		Sp02g00937		
OG0019268		Sp02g00942		
OG0019269		Sp02g00947		
OG0019270		Sp02g00952		
OG0019271		Sp02g00962		
OG0019272		Sp02g00969		
OG0019273		Sp02g00982		
OG0019274		Sp02g00991		
OG0019275		Sp02g00999		
OG0019276		Sp02g01001		
OG0019277		Sp02g01010		
OG0019278		Sp02g01022		
OG0019279		Sp02g01030		
OG0019280		Sp02g01031		
OG0019281		Sp02g01040		
OG0019282		Sp02g01058		
OG0019283		Sp02g01059		
OG0019284		Sp02g01062		
OG0019285		Sp02g01063		
OG0019286		Sp02g01069		
OG0019287		Sp02g01071		
OG0019288		Sp02g01072		
OG0019289		Sp02g01082		
OG0019290		Sp02g01086		
OG0019291		Sp02g01097		
OG0019292		Sp02g01100		
OG0019293		Sp02g01101		
OG0019294		Sp02g01103		
OG0019295		Sp02g01106		
OG0019296		Sp02g01119		
OG0019297		Sp02g01126		
OG0019298		Sp02g01130		
OG0019299		Sp02g01132		
OG0019300		Sp02g01139		
OG0019301		Sp02g01147		
OG0019302		Sp02g01153		
OG0019303		Sp02g01156		
OG0019304		Sp02g01161		
OG0019305		Sp02g01167		
OG0019306		Sp02g01169		
OG0019307		Sp02g01183		
OG0019308		Sp02g01186		
OG0019309		Sp02g01196		
OG0019310		Sp02g01198		
OG0019311		Sp02g01204		
OG0019312		Sp02g01211		
OG0019313		Sp02g01212		
OG0019314		Sp02g01221		
OG0019315		Sp02g01234		
OG0019316		Sp02g01236		
OG0019317		Sp02g01237		
OG0019318		Sp02g01238		
OG0019319		Sp02g01239		
OG0019320		Sp02g01245		
OG0019321		Sp02g01249		
OG0019322		Sp02g01250		
OG0019323		Sp02g01252		
OG0019324		Sp02g01270		
OG0019325		Sp02g01290		
OG0019326		Sp02g01293		
OG0019327		Sp02g01295		
OG0019328		Sp02g01301		
OG0019329		Sp03g00005		
OG0019330		Sp03g00010		
OG0019331		Sp03g00022		
OG0019332		Sp03g00033		
OG0019333		Sp03g00035		
OG0019334		Sp03g00037		
OG0019335		Sp03g00039		
OG0019336		Sp03g00041		
OG0019337		Sp03g00042		
OG0019338		Sp03g00043		
OG0019339		Sp03g00045		
OG0019340		Sp03g00051		
OG0019341		Sp03g00052		
OG0019342		Sp03g00053		
OG0019343		Sp03g00054		
OG0019344		Sp03g00055		
OG0019345		Sp03g00056		
OG0019346		Sp03g00057		
OG0019347		Sp03g00058		
OG0019348		Sp03g00059		
OG0019349		Sp03g00060		
OG0019350		Sp03g00061		
OG0019351		Sp03g00063		
OG0019352		Sp03g00064		
OG0019353		Sp03g00065		
OG0019354		Sp03g00066		
OG0019355		Sp03g00067		
OG0019356		Sp03g00068		
OG0019357		Sp03g00069		
OG0019358		Sp03g00072		
OG0019359		Sp03g00074		
OG0019360		Sp03g00075		
OG0019361		Sp03g00076		
OG0019362		Sp03g00080		
OG0019363		Sp03g00094		
OG0019364		Sp03g00096		
OG0019365		Sp03g00098		
OG0019366		Sp03g00104		
OG0019367		Sp03g00113		
OG0019368		Sp03g00121		
OG0019369		Sp03g00138		
OG0019370		Sp03g00144		
OG0019371		Sp03g00145		
OG0019372		Sp03g00148		
OG0019373		Sp03g00152		
OG0019374		Sp03g00153		
OG0019375		Sp03g00157		
OG0019376		Sp03g00162		
OG0019377		Sp03g00164		
OG0019378		Sp03g00174		
OG0019379		Sp03g00175		
OG0019380		Sp03g00176		
OG0019381		Sp03g00178		
OG0019382		Sp03g00183		
OG0019383		Sp03g00191		
OG0019384		Sp03g00194		
OG0019385		Sp03g00197		
OG0019386		Sp03g00204		
OG0019387		Sp03g00206		
OG0019388		Sp03g00215		
OG0019389		Sp03g00223		
OG0019390		Sp03g00228		
OG0019391		Sp03g00230		
OG0019392		Sp03g00269		
OG0019393		Sp03g00278		
OG0019394		Sp03g00294		
OG0019395		Sp03g00295		
OG0019396		Sp03g00303		
OG0019397		Sp03g00314		
OG0019398		Sp03g00333		
OG0019399		Sp03g00334		
OG0019400		Sp03g00335		
OG0019401		Sp03g00340		
OG0019402		Sp03g00347		
OG0019403		Sp03g00351		
OG0019404		Sp03g00363		
OG0019405		Sp03g00364		
OG0019406		Sp03g00365		
OG0019407		Sp03g00367		
OG0019408		Sp03g00370		
OG0019409		Sp03g00371		
OG0019410		Sp03g00378		
OG0019411		Sp03g00383		
OG0019412		Sp03g00389		
OG0019413		Sp03g00399		
OG0019414		Sp03g00410		
OG0019415		Sp03g00418		
OG0019416		Sp03g00422		
OG0019417		Sp03g00427		
OG0019418		Sp03g00433		
OG0019419		Sp03g00451		
OG0019420		Sp03g00452		
OG0019421		Sp03g00454		
OG0019422		Sp03g00463		
OG0019423		Sp03g00467		
OG0019424		Sp03g00470		
OG0019425		Sp03g00488		
OG0019426		Sp03g00495		
OG0019427		Sp03g00505		
OG0019428		Sp03g00506		
OG0019429		Sp03g00520		
OG0019430		Sp03g00579		
OG0019431		Sp03g00580		
OG0019432		Sp03g00583		
OG0019433		Sp03g00584		
OG0019434		Sp03g00592		
OG0019435		Sp03g00593		
OG0019436		Sp03g00599		
OG0019437		Sp03g00604		
OG0019438		Sp03g00609		
OG0019439		Sp03g00621		
OG0019440		Sp03g00634		
OG0019441		Sp03g00640		
OG0019442		Sp03g00641		
OG0019443		Sp03g00652		
OG0019444		Sp03g00676		
OG0019445		Sp03g00684		
OG0019446		Sp03g00688		
OG0019447		Sp03g00712		
OG0019448		Sp03g00716		
OG0019449		Sp03g00728		
OG0019450		Sp03g00735		
OG0019451		Sp03g00746		
OG0019452		Sp03g00756		
OG0019453		Sp03g00763		
OG0019454		Sp03g00776		
OG0019455		Sp03g00778		
OG0019456		Sp03g00781		
OG0019457		Sp03g00782		
OG0019458		Sp03g00788		
OG0019459		Sp03g00791		
OG0019460		Sp03g00804		
OG0019461		Sp03g00814		
OG0019462		Sp03g00815		
OG0019463		Sp03g00820		
OG0019464		Sp03g00821		
OG0019465		Sp03g00823		
OG0019466		Sp03g00830		
OG0019467		Sp03g00833		
OG0019468		Sp03g00835		
OG0019469		Sp03g00837		
OG0019470		Sp03g00841		
OG0019471		Sp03g00854		
OG0019472		Sp03g00855		
OG0019473		Sp03g00888		
OG0019474		Sp03g00897		
OG0019475		Sp03g00915		
OG0019476		Sp03g00918		
OG0019477		Sp03g00920		
OG0019478		Sp03g00922		
OG0019479		Sp03g00930		
OG0019480		Sp03g00939		
OG0019481		Sp03g00942		
OG0019482		Sp03g00948		
OG0019483		Sp03g00950		
OG0019484		Sp03g00955		
OG0019485		Sp03g00959		
OG0019486		Sp03g00960		
OG0019487		Sp03g00966		
OG0019488		Sp03g00971		
OG0019489		Sp03g00972		
OG0019490		Sp03g00974		
OG0019491		Sp03g00975		
OG0019492		Sp03g00977		
OG0019493		Sp03g00980		
OG0019494		Sp03g01013		
OG0019495		Sp03g01016		
OG0019496		Sp03g01021		
OG0019497		Sp03g01033		
OG0019498		Sp03g01034		
OG0019499		Sp03g01035		
OG0019500		Sp03g01036		
OG0019501		Sp03g01038		
OG0019502		Sp03g01041		
OG0019503		Sp03g01042		
OG0019504		Sp03g01043		
OG0019505		Sp03g01044		
OG0019506		Sp03g01048		
OG0019507		Sp03g01059		
OG0019508		Sp03g01062		
OG0019509		Sp03g01082		
OG0019510		Sp03g01083		
OG0019511		Sp03g01095		
OG0019512		Sp03g01097		
OG0019513		Sp03g01112		
OG0019514		Sp03g01118		
OG0019515		Sp03g01128		
OG0019516		Sp03g01136		
OG0019517		Sp03g01150		
OG0019518		Sp03g01161		
OG0019519		Sp03g01164		
OG0019520		Sp03g01165		
OG0019521		Sp03g01175		
OG0019522		Sp03g01181		
OG0019523		Sp03g01191		
OG0019524		Sp03g01214		
OG0019525		Sp03g01215		
OG0019526		Sp03g01217		
OG0019527		Sp03g01219		
OG0019528		Sp03g01220		
OG0019529		Sp03g01222		
OG0019530		Sp03g01227		
OG0019531		Sp03g01228		
OG0019532		Sp03g01229		
OG0019533		Sp03g01238		
OG0019534		Sp03g01245		
OG0019535		Sp03g01250		
OG0019536		Sp03g01257		
OG0019537		Sp03g01259		
OG0019538		Sp03g01260		
OG0019539		Sp03g01261		
OG0019540		Sp03g01262		
OG0019541		Sp03g01268		
OG0019542		Sp03g01284		
OG0019543		Sp03g01285		
OG0019544		Sp03g01294		
OG0019545		Sp03g01300		
OG0019546		Sp03g01301		
OG0019547		Sp03g01302		
OG0019548		Sp03g01303		
OG0019549		Sp03g01306		
OG0019550		Sp03g01309		
OG0019551		Sp03g01313		
OG0019552		Sp03g01314		
OG0019553		Sp03g01315		
OG0019554		Sp03g01316		
OG0019555		Sp03g01317		
OG0019556		Sp03g01318		
OG0019557		Sp03g01322		
OG0019558		Sp03g01323		
OG0019559		Sp03g01324		
OG0019560		Sp03g01325		
OG0019561		Sp03g01326		
OG0019562		Sp03g01328		
OG0019563		Sp03g01329		
OG0019564		Sp03g01330		
OG0019565		Sp03g01331		
OG0019566		Sp03g01335		
OG0019567		Sp03g01339		
OG0019568		Sp03g01343		
OG0019569		Sp03g01344		
OG0019570		Sp03g01353		
OG0019571		Sp03g01354		
OG0019572		Sp03g01356		
OG0019573		Sp03g01366		
OG0019574		Sp03g01370		
OG0019575		Sp03g01371		
OG0019576		Sp03g01381		
OG0019577		Sp03g01385		
OG0019578		Sp03g01392		
OG0019579		Sp04g00007		
OG0019580		Sp04g00017		
OG0019581		Sp04g00019		
OG0019582		Sp04g00027		
OG0019583		Sp04g00033		
OG0019584		Sp04g00095		
OG0019585		Sp04g00105		
OG0019586		Sp04g00113		
OG0019587		Sp04g00121		
OG0019588		Sp04g00123		
OG0019589		Sp04g00125		
OG0019590		Sp04g00138		
OG0019591		Sp04g00139		
OG0019592		Sp04g00141		
OG0019593		Sp04g00142		
OG0019594		Sp04g00143		
OG0019595		Sp04g00144		
OG0019596		Sp04g00145		
OG0019597		Sp04g00146		
OG0019598		Sp04g00147		
OG0019599		Sp04g00159		
OG0019600		Sp04g00163		
OG0019601		Sp04g00164		
OG0019602		Sp04g00169		
OG0019603		Sp04g00180		
OG0019604		Sp04g00187		
OG0019605		Sp04g00193		
OG0019606		Sp04g00195		
OG0019607		Sp04g00200		
OG0019608		Sp04g00202		
OG0019609		Sp04g00212		
OG0019610		Sp04g00222		
OG0019611		Sp04g00231		
OG0019612		Sp04g00235		
OG0019613		Sp04g00237		
OG0019614		Sp04g00239		
OG0019615		Sp04g00246		
OG0019616		Sp04g00259		
OG0019617		Sp04g00265		
OG0019618		Sp04g00268		
OG0019619		Sp04g00280		
OG0019620		Sp04g00281		
OG0019621		Sp04g00286		
OG0019622		Sp04g00291		
OG0019623		Sp04g00294		
OG0019624		Sp04g00295		
OG0019625		Sp04g00297		
OG0019626		Sp04g00306		
OG0019627		Sp04g00307		
OG0019628		Sp04g00309		
OG0019629		Sp04g00311		
OG0019630		Sp04g00313		
OG0019631		Sp04g00314		
OG0019632		Sp04g00325		
OG0019633		Sp04g00333		
OG0019634		Sp04g00334		
OG0019635		Sp04g00353		
OG0019636		Sp04g00355		
OG0019637		Sp04g00358		
OG0019638		Sp04g00363		
OG0019639		Sp04g00365		
OG0019640		Sp04g00374		
OG0019641		Sp04g00418		
OG0019642		Sp04g00423		
OG0019643		Sp04g00449		
OG0019644		Sp04g00450		
OG0019645		Sp04g00451		
OG0019646		Sp04g00452		
OG0019647		Sp04g00453		
OG0019648		Sp04g00457		
OG0019649		Sp04g00459		
OG0019650		Sp04g00461		
OG0019651		Sp04g00464		
OG0019652		Sp04g00469		
OG0019653		Sp04g00470		
OG0019654		Sp04g00471		
OG0019655		Sp04g00472		
OG0019656		Sp04g00473		
OG0019657		Sp04g00474		
OG0019658		Sp04g00475		
OG0019659		Sp04g00476		
OG0019660		Sp04g00477		
OG0019661		Sp04g00478		
OG0019662		Sp04g00479		
OG0019663		Sp04g00480		
OG0019664		Sp04g00481		
OG0019665		Sp04g00502		
OG0019666		Sp04g00506		
OG0019667		Sp04g00508		
OG0019668		Sp04g00523		
OG0019669		Sp04g00524		
OG0019670		Sp04g00526		
OG0019671		Sp04g00532		
OG0019672		Sp04g00536		
OG0019673		Sp04g00550		
OG0019674		Sp04g00551		
OG0019675		Sp04g00562		
OG0019676		Sp04g00571		
OG0019677		Sp04g00578		
OG0019678		Sp04g00583		
OG0019679		Sp04g00584		
OG0019680		Sp04g00590		
OG0019681		Sp04g00598		
OG0019682		Sp04g00647		
OG0019683		Sp04g00682		
OG0019684		Sp04g00700		
OG0019685		Sp04g00718		
OG0019686		Sp04g00721		
OG0019687		Sp04g00730		
OG0019688		Sp04g00731		
OG0019689		Sp04g00735		
OG0019690		Sp04g00749		
OG0019691		Sp04g00758		
OG0019692		Sp04g00760		
OG0019693		Sp04g00768		
OG0019694		Sp04g00769		
OG0019695		Sp04g00772		
OG0019696		Sp04g00778		
OG0019697		Sp04g00783		
OG0019698		Sp04g00798		
OG0019699		Sp04g00802		
OG0019700		Sp04g00804		
OG0019701		Sp04g00806		
OG0019702		Sp04g00827		
OG0019703		Sp04g00830		
OG0019704		Sp04g00833		
OG0019705		Sp04g00838		
OG0019706		Sp04g00868		
OG0019707		Sp04g00877		
OG0019708		Sp04g00878		
OG0019709		Sp04g00884		
OG0019710		Sp04g00886		
OG0019711		Sp04g00891		
OG0019712		Sp04g00894		
OG0019713		Sp04g00902		
OG0019714		Sp04g00908		
OG0019715		Sp04g00916		
OG0019716		Sp04g00929		
OG0019717		Sp04g00932		
OG0019718		Sp04g00935		
OG0019719		Sp04g00954		
OG0019720		Sp04g00957		
OG0019721		Sp04g00959		
OG0019722		Sp04g00975		
OG0019723		Sp04g00982		
OG0019724		Sp04g00983		
OG0019725		Sp04g01009		
OG0019726		Sp04g01018		
OG0019727		Sp04g01050		
OG0019728		Sp04g01052		
OG0019729		Sp04g01057		
OG0019730		Sp04g01058		
OG0019731		Sp04g01070		
OG0019732		Sp04g01071		
OG0019733		Sp04g01086		
OG0019734		Sp04g01094		
OG0019735		Sp04g01102		
OG0019736		Sp04g01108		
OG0019737		Sp04g01113		
OG0019738		Sp04g01126		
OG0019739		Sp04g01127		
OG0019740		Sp04g01128		
OG0019741		Sp04g01129		
OG0019742		Sp04g01130		
OG0019743		Sp04g01131		
OG0019744		Sp04g01132		
OG0019745		Sp04g01133		
OG0019746		Sp04g01134		
OG0019747		Sp04g01135		
OG0019748		Sp04g01136		
OG0019749		Sp04g01152		
OG0019750		Sp04g01161		
OG0019751		Sp04g01168		
OG0019752		Sp04g01170		
OG0019753		Sp04g01172		
OG0019754		Sp04g01175		
OG0019755		Sp04g01177		
OG0019756		Sp04g01180		
OG0019757		Sp04g01188		
OG0019758		Sp04g01193		
OG0019759		Sp04g01197		
OG0019760		Sp04g01205		
OG0019761		Sp04g01211		
OG0019762		Sp04g01226		
OG0019763		Sp04g01244		
OG0019764		Sp04g01255		
OG0019765		Sp04g01285		
OG0019766		Sp04g01301		
OG0019767		Sp04g01304		
OG0019768		Sp04g01308		
OG0019769		Sp04g01319		
OG0019770		Sp04g01320		
OG0019771		Sp04g01328		
OG0019772		Sp04g01331		
OG0019773		Sp04g01337		
OG0019774		Sp04g01343		
OG0019775		Sp04g01345		
OG0019776		Sp04g01349		
OG0019777		Sp04g01351		
OG0019778		Sp04g01359		
OG0019779		Sp04g01361		
OG0019780		Sp04g01362		
OG0019781		Sp04g01363		
OG0019782		Sp04g01365		
OG0019783		Sp04g01370		
OG0019784		Sp04g01376		
OG0019785		Sp04g01379		
OG0019786		Sp04g01382		
OG0019787		Sp04g01387		
OG0019788		Sp04g01388		
OG0019789		Sp04g01399		
OG0019790		Sp04g01412		
OG0019791		Sp04g01419		
OG0019792		Sp04g01435		
OG0019793		Sp04g01438		
OG0019794		Sp04g01442		
OG0019795		Sp04g01456		
OG0019796		Sp04g01469		
OG0019797		Sp04g01476		
OG0019798		Sp04g01484		
OG0019799		Sp04g01485		
OG0019800		Sp04g01501		
OG0019801		Sp04g01502		
OG0019802		Sp04g01504		
OG0019803		Sp04g01512		
OG0019804		Sp04g01517		
OG0019805		Sp04g01521		
OG0019806		Sp04g01525		
OG0019807		Sp04g01527		
OG0019808		Sp04g01528		
OG0019809		Sp04g01534		
OG0019810		Sp04g01536		
OG0019811		Sp05g00012		
OG0019812		Sp05g00013		
OG0019813		Sp05g00016		
OG0019814		Sp05g00019		
OG0019815		Sp05g00025		
OG0019816		Sp05g00031		
OG0019817		Sp05g00032		
OG0019818		Sp05g00048		
OG0019819		Sp05g00057		
OG0019820		Sp05g00074		
OG0019821		Sp05g00079		
OG0019822		Sp05g00089		
OG0019823		Sp05g00090		
OG0019824		Sp05g00091		
OG0019825		Sp05g00092		
OG0019826		Sp05g00093		
OG0019827		Sp05g00094		
OG0019828		Sp05g00095		
OG0019829		Sp05g00096		
OG0019830		Sp05g00097		
OG0019831		Sp05g00098		
OG0019832		Sp05g00099		
OG0019833		Sp05g00100		
OG0019834		Sp05g00101		
OG0019835		Sp05g00102		
OG0019836		Sp05g00103		
OG0019837		Sp05g00104		
OG0019838		Sp05g00105		
OG0019839		Sp05g00108		
OG0019840		Sp05g00109		
OG0019841		Sp05g00111		
OG0019842		Sp05g00114		
OG0019843		Sp05g00117		
OG0019844		Sp05g00122		
OG0019845		Sp05g00123		
