Orthogroup	Sp9509_oxford_v3.proteins	wa8730.asm201904v2.ann1.proteins
OG0001712	Sp11g00630	Wa8730a001g010010_P001, Wa8730a011g003830_P001
OG0001713	Sp11g00576	Wa8730a011g003710_P002, Wa8730a011g003710_P001
OG0001714	Sp11g00556	Wa8730a011g003520_P001, Wa8730a011g003520_P002
OG0001715	Sp11g00424, Sp11g00423	Wa8730a011g002910_P001
OG0001716	Sp11g00401	Wa8730a011g002570_P001
OG0001717	Sp11g00387	Wa8730a011g002620_P001, Wa8730a011g002640_P001
OG0001718	Sp11g00359	Wa8730a011g002090_P001, Wa8730a011g002090_P002
OG0001719	Sp11g00213, Sp11g00182, Sp11g00212	Wa8730a011g001270_P001
OG0001720	Sp11g00179, Sp11g00170	Wa8730a011g001240_P001
OG0001721	Sp11g00134	Wa8730a011g001450_P001, Wa8730a011g000850_P001
OG0001722	Sp11g00129	Wa8730a011g000820_P001, Wa8730a011g000820_P002
OG0001723	Sp11g00065	Wa8730a011g000720_P001, Wa8730a011g000720_P002
OG0001724	Sp11g00018, Sp11g00017	Wa8730a011g000080_P001
OG0001725	Sp03g01378	Wa8730a003g008780_P001, Wa8730a003g008780_P002
OG0001726	Sp03g01347, Sp03g01350	Wa8730a003g008410_P001
OG0001727	Sp03g01346	Wa8730a002g000520_P002, Wa8730a002g000520_P001
OG0001728	Sp03g01288	Wa8730a003g008320_P001, Wa8730a003g008320_P003, Wa8730a003g008320_P002
OG0001729	Sp03g01274, Sp03g01273	Wa8730a003g008210_P002, Wa8730a003g008210_P001
OG0001731	Sp03g01246	Wa8730a003g008010_P002, Wa8730a003g008010_P001
OG0001733	Sp03g01242	Wa8730a003g008060_P001, Wa8730a003g008060_P002
OG0001734	Sp03g01235, Sp03g01233, Sp03g01234	Wa8730a003g008080_P001
OG0001735	Sp03g01198, Sp03g01201	Wa8730a003g006930_P001
OG0001736	Sp03g01188	Wa8730a003g007020_P001, Wa8730a003g007040_P001
OG0001737	Sp03g01144	Wa8730a003g007110_P001
OG0001738	Sp18g00165	Wa8730a016g003960_P001
OG0001739	Sp03g01093	Wa8730a003g006970_P002, Wa8730a003g006970_P001
OG0001740	Sp03g01089	Wa8730a003g007230_P001, Wa8730a012g003590_P001
OG0001741	Sp03g01001	Wa8730a016g001120_P001, Wa8730a003g006410_P001
OG0001742	Sp03g00984	Wa8730a003g006260_P001, Wa8730a003g006250_P001
OG0001743	Sp03g00981	Wa8730a003g006310_P001, Wa8730a003g006310_P002
OG0001744	Sp03g00962	Wa8730a011g005550_P001, Wa8730a003g006240_P001
OG0001745	Sp03g00944	Wa8730a003g005830_P001, Wa8730a003g005810_P001
OG0001746	Sp03g00931	Wa8730a016g001800_P001
OG0001747	Sp03g00861	Wa8730a003g005390_P001, Wa8730a003g005390_P002
OG0001748	Sp03g00777	Wa8730a003g004900_P001, Wa8730a003g004790_P001
OG0001749	Sp03g00771	Wa8730a003g004830_P001, Wa8730a003g004850_P001
OG0001750	Sp03g00686	Wa8730a003g004160_P001, Wa8730a003g004150_P001
OG0001751	Sp03g00568, Sp03g00567	Wa8730a003g003350_P001
OG0001752	Sp03g00473, Sp03g00474	Wa8730a003g002510_P001
OG0001753	Sp03g00469	Wa8730a003g002460_P002, Wa8730a003g002460_P001
OG0001754	Sp03g00446, Sp03g00448	Wa8730a003g002340_P001
OG0001755	Sp03g00387	Wa8730a003g002190_P001, Wa8730a003g002180_P001
OG0001756	Sp03g00336	Wa8730a003g001820_P001
OG0001757	Sp03g00323, Sp03g00324	Wa8730a003g001710_P001
OG0001758	Sp03g00312, Sp03g00313	Wa8730a003g001730_P001, Wa8730a003g001730_P002
OG0001759	Sp03g00235, Sp15g00122	Wa8730a001g008050_P001
OG0001760	Sp03g00233	Wa8730a003g001170_P001, Wa8730a003g001180_P001
OG0001761	Sp03g00195	Wa8730a003g000960_P001
OG0001762	Sp11g00518, Sp16g00506, Sp02g00003	Wa8730a004g003900_P001
OG0001763	Sp02g00212	Wa8730a002g009120_P001
OG0001764	Sp02g00209	Wa8730a002g009150_P001, Wa8730a002g009220_P001
OG0001765	Sp02g00249, Sp02g00196	Wa8730a002g008990_P001
OG0001766	Sp02g00194, Sp02g00251	Wa8730a002g009000_P001
OG0001767	Sp15g00091, Sp02g00172	Wa8730a002g009470_P001
OG0001768	Sp02g00151	Wa8730a002g009600_P001
OG0001769	Sp02g00254, Sp02g00253	Wa8730a002g009010_P001
OG0001770	Sp02g00260	Wa8730a002g009060_P002, Wa8730a002g009060_P001
OG0001771	Sp02g00452	Wa8730a002g007200_P001, Wa8730a002g007200_P002
OG0001772	Sp02g00475	Wa8730a002g007210_P001, Wa8730a013g004240_P001
OG0001773	Sp02g00483	Wa8730a002g007140_P001, Wa8730a002g007140_P002
OG0001774	Sp02g00718	Wa8730a002g005140_P002, Wa8730a002g005140_P001
OG0001775	Sp02g00745	Wa8730a002g004920_P002, Wa8730a002g004920_P001
OG0001777	Sp13g00081, Sp13g00079	Wa8730a002g002790_P001
OG0001778	Sp13g00078	Wa8730a002g002750_P001
OG0001779	Sp13g00065	Wa8730a002g002630_P001
OG0001780	Sp13g00039	Wa8730a002g002450_P001, Wa8730a002g002430_P001
OG0001781	Sp02g01162	Wa8730a002g000610_P001, Wa8730a007g007920_P001
OG0001782	Sp02g01220	Wa8730a002g000480_P001, Wa8730a002g000490_P001
OG0001783	Sp02g01263	Wa8730a002g000270_P001, Wa8730a002g000270_P002
OG0001785	Sp15g00026, Sp15g00462	Wa8730a001g007720_P001
OG0001786	Sp15g00028, Sp15g00031	Wa8730a001g007650_P001
OG0001787	Sp15g00065	Wa8730a001g007760_P001
OG0001788	Sp15g00072	Wa8730a001g007620_P002, Wa8730a001g007620_P001
OG0001789	Sp15g00135, Sp15g00134	Wa8730a001g008100_P001
OG0001790	Sp15g00172	Wa8730a001g008990_P001
OG0001791	Sp15g00270	Wa8730a001g009080_P001
OG0001792	Sp15g00276	Wa8730a001g009160_P001
OG0001793	Sp15g00298	Wa8730a001g005450_P001, Wa8730a001g009370_P001
OG0001794	Sp19g00036	Wa8730a004g007720_P001, Wa8730a004g008750_P001
OG0001795	Sp19g00038	Wa8730a004g008710_P001, Wa8730a004g008730_P001
OG0001796	Sp19g00076	Wa8730a004g008450_P001
OG0001797	Sp19g00097	Wa8730a004g008250_P001, Wa8730a004g008230_P001
OG0001798	Sp19g00145	Wa8730a004g007880_P001
OG0001799	Sp01g00390, Sp01g00391	Wa8730a009g005180_P001
OG0001800	Sp01g00841	Wa8730a007g005410_P001
OG0001801	Sp03g00913, Sp03g00914	Wa8730a003g005930_P001, Wa8730a003g005690_P001
OG0001802	Sp04g00425, Sp04g00426	Wa8730a007g006120_P001
OG0001803	Sp04g00860, Sp04g00856	Wa8730a007g003630_P001, Wa8730a007g003530_P001
OG0001804	Sp09g00771	Wa8730a014g002740_P001, Wa8730a009g005260_P001
OG0001805	Sp09g01080	Wa8730a008g003570_P001, Wa8730a013g000270_P001
OG0001806	Sp12g00034	Wa8730a015g006050_P001
OG0001807	Sp13g00059	Wa8730a002g002620_P001, Wa8730a002g002770_P001, Wa8730a002g002670_P001
OG0001808	Sp14g00301	Wa8730a013g003820_P001, Wa8730a013g003810_P001
OG0001809	Sp16g00545	Wa8730a006g001440_P001
OG0001809	Sp16g00544	Wa8730a006g001430_P001
OG0001827	Sp13g01000	Wa8730a004g004470_P001
OG0001828	Sp02g01243	Wa8730a002g000290_P001
OG0001829	Sp13g00880	Wa8730a004g005030_P001
OG0001830	Sp13g00872	Wa8730a004g004980_P001
OG0001831	Sp13g00713, Sp13g00714	Wa8730a004g003740_P001
OG0001832	Sp17g00026, Sp13g00698	Wa8730a008g002720_P001
OG0001833	Sp13g00687, Sp13g00686	Wa8730a004g003610_P001
OG0001834	Sp13g00647, Sp13g00648	Wa8730a004g003270_P001
OG0001835	Sp13g00627	Wa8730a004g002990_P001
OG0001836	Sp05g00173, Sp13g00618	Wa8730a010g000820_P001
OG0001837	Sp13g00615, Sp13g00614	Wa8730a004g002830_P001
OG0001838	Sp13g00580	Wa8730a004g002740_P001, Wa8730a004g002730_P001
OG0001840	Sp13g00548	Wa8730a009g005290_P001
OG0001841	Sp13g00515, Sp13g00516	Wa8730a004g002580_P001
OG0001842	Sp13g00429, Sp13g00491	Wa8730a004g001470_P001
OG0001843	Sp13g00490	Wa8730a004g002040_P001, Wa8730a004g002040_P002
OG0001844	Sp13g00473	Wa8730a004g001930_P001
OG0001845	Sp13g00470	Wa8730a004g001490_P001
OG0001846	Sp13g00426	Wa8730a004g001420_P001
OG0001847	Sp10g00922, Sp13g00416	Wa8730a009g001570_P001
OG0001848	Sp13g00398	Wa8730a004g000870_P001
OG0001849	Sp13g00349	Wa8730a001g007840_P001
OG0001850	Sp13g00345, Sp02g00571	Wa8730a002g006060_P001
OG0001851	Sp05g00587, Sp13g00243	Wa8730a010g003590_P001
OG0001852	Sp13g00240	Wa8730a017g004120_P001
OG0001853	Sp13g00231	Wa8730a017g004070_P002, Wa8730a017g004070_P001
OG0001854	Sp13g00214	Wa8730a017g004430_P002, Wa8730a017g004430_P001
OG0001855	Sp13g00211	Wa8730a017g004440_P001
OG0001857	Sp13g00204	Wa8730a017g004520_P001
OG0001858	Sp13g00196	Wa8730a017g004560_P001
OG0001860	Sp09g01177, Sp09g01155	Wa8730a014g000150_P001
OG0001861	Sp09g01152, Sp09g01151	Wa8730a014g000180_P001
OG0001862	Sp08g01266	Wa8730a005g000260_P001
OG0001863	Sp08g01204	Wa8730a005g000660_P001
OG0001864	Sp05g00055	Wa8730a005g000950_P001
OG0001865	Sp08g01155	Wa8730a005g001060_P001
OG0001866	Sp08g01106	Wa8730a005g001380_P001
OG0001867	Sp08g01082	Wa8730a005g001490_P001, Wa8730a005g001500_P001
OG0001868	Sp08g01080	Wa8730a003g008430_P001
OG0001869	Sp08g01025	Wa8730a005g001860_P001, Wa8730a005g001860_P002
OG0001870	Sp08g01006, Sp08g01019	Wa8730a005g002050_P001
OG0001871	Sp08g00997	Wa8730a005g002080_P001, Wa8730a005g002080_P002
OG0001872	Sp08g00928	Wa8730a005g002640_P002, Wa8730a005g002640_P001
OG0001873	Sp08g00896	Wa8730a005g002870_P001
OG0001874	Sp07g01084, Sp08g00892	Wa8730a003g006630_P001
OG0001875	Sp08g00889	Wa8730a005g002900_P001, Wa8730a005g002900_P002
OG0001876	Sp08g00867	Wa8730a005g003010_P001
OG0001877	Sp08g00865	Wa8730a005g003020_P001
OG0001878	Sp08g00831	Wa8730a005g003220_P001
OG0001879	Sp08g00787	Wa8730a005g003400_P001, Wa8730a005g003400_P002
OG0001880	Sp08g00779	Wa8730a005g003630_P001
OG0001881	Sp08g00762	Wa8730a005g003550_P001
OG0001882	Sp08g00712	Wa8730a005g003960_P001
OG0001883	Sp05g00282, Sp08g00710	Wa8730a005g004000_P001
OG0001884	Sp08g00645	Wa8730a005g004300_P001, Wa8730a005g004290_P001
OG0001885	Sp08g00636	Wa8730a010g001920_P001
OG0001886	Sp08g00605	Wa8730a005g004930_P001
OG0001887	Sp08g00594	Wa8730a005g005030_P001
OG0001888	Sp08g00548	Wa8730a005g004510_P001, Wa8730a005g004520_P001
OG0001889	Sp08g00529	Wa8730a005g005210_P001
OG0001891	Sp08g00436	Wa8730a005g005880_P001
OG0001892	Sp08g00435	Wa8730a005g005890_P001
OG0001893	Sp08g00413, Sp08g00414	Wa8730a005g006020_P001
OG0001894	Sp08g00397	Wa8730a005g006160_P002, Wa8730a005g006160_P001
OG0001895	Sp08g00386	Wa8730a005g006360_P001
OG0001896	Sp08g00365	Wa8730a005g006490_P001
OG0001897	Sp08g00302	Wa8730a005g006910_P001
OG0001898	Sp08g00287	Wa8730a005g007050_P001
OG0001899	Sp08g00272	Wa8730a005g007130_P001
OG0001900	Sp06g00079, Sp01g01663	Wa8730a001g011450_P001
OG0001901	Sp06g01260	Wa8730a018g000450_P001
OG0001902	Sp01g01655, Sp01g01654	Wa8730a001g011500_P001
OG0001903	Sp01g01646	Wa8730a001g011440_P002, Wa8730a001g011440_P001
OG0001904	Sp06g00098, Sp01g01635	Wa8730a001g011390_P001
OG0001905	Sp01g01631	Wa8730a001g011300_P001
OG0001906	Sp01g01797, Sp10g00998, Sp01g01629	Wa8730a001g011280_P001
OG0001907	Sp06g00101, Sp01g01627	Wa8730a019g000620_P001
OG0001909	Sp01g01613	Wa8730a001g011200_P001
OG0001910	Sp19g00403, Sp08g00212	Wa8730a004g005970_P001
OG0001912	Sp08g00150, Sp08g00149	Wa8730a005g007510_P001
OG0001913	Sp08g00143	Wa8730a005g007520_P001
OG0001914	Sp08g00109, Sp08g00107	Wa8730a005g008350_P001
OG0001915	Sp08g00098	Wa8730a005g008300_P001
OG0001916	Sp08g00092	Wa8730a005g008270_P001
OG0001917	Sp08g00088	Wa8730a005g008520_P001
OG0001918	Sp08g00085	Wa8730a005g008530_P001, Wa8730a005g008530_P002
OG0001919	Sp08g00083	Wa8730a005g008450_P001
OG0001920	Sp19g00455, Sp08g00065	Wa8730a005g008560_P001
OG0001921	Sp07g00023, Sp07g00024	Wa8730a008g000520_P001
OG0001922	Sp07g00028	Wa8730a008g000840_P001, Wa8730a008g000470_P001
OG0001923	Sp07g00037	Wa8730a008g000360_P001, Wa8730a014g007070_P001
OG0001924	Sp07g00057	Wa8730a008g000260_P001
OG0001925	Sp07g00061, Sp07g00059	Wa8730a008g000270_P001
OG0001926	Sp20g00023, Sp07g00113	Wa8730a008g000760_P001
OG0001927	Sp07g00149	Wa8730a008g001210_P001
OG0001928	Sp07g00209, Sp07g00210	Wa8730a008g001780_P001
OG0001929	Sp07g00193	Wa8730a008g001580_P001
OG0001930	Sp07g00232	Wa8730a008g001940_P001, Wa8730a009g006120_P001
OG0001931	Sp07g00239, Sp03g00350	Wa8730a003g001860_P001
OG0001932	Sp07g00241	Wa8730a008g002040_P001, Wa8730a008g002040_P002
OG0001933	Sp07g00254	Wa8730a009g006690_P001
OG0001934	Sp07g00273	Wa8730a008g002240_P001
OG0001936	Sp07g00316	Wa8730a001g009720_P001
OG0001937	Sp07g00330, Sp07g00331	Wa8730a008g002580_P001
OG0001938	Sp07g00333	Wa8730a008g002600_P001
OG0001939	Sp07g00367	Wa8730a012g000090_P001, Wa8730a012g000100_P001
OG0001941	Sp07g00419	Wa8730a012g000380_P001, Wa8730a012g000380_P002
OG0001942	Sp07g00426	Wa8730a004g004250_P001
OG0001943	Sp07g00451	Wa8730a012g000530_P001
OG0001944	Sp07g00475	Wa8730a012g000700_P001
OG0001945	Sp07g00488	Wa8730a012g000850_P001
OG0001946	Sp07g00489	Wa8730a012g000860_P002, Wa8730a012g000860_P001
OG0001947	Sp07g00507	Wa8730a012g001300_P001, Wa8730a012g001310_P001
OG0001948	Sp07g00513	Wa8730a012g001360_P001, Wa8730a012g001360_P002
OG0001949	Sp07g00544	Wa8730a007g005080_P001
OG0001950	Sp07g00617	Wa8730a012g002070_P001, Wa8730a012g002070_P002
OG0001951	Sp07g00633, Sp07g00634	Wa8730a012g002190_P001
OG0001952	Sp07g00685	Wa8730a012g002690_P001
OG0001954	Sp16g00306, Sp07g00694	Wa8730a012g002780_P001
OG0001955	Sp07g00715	Wa8730a012g003030_P001, Wa8730a012g003040_P001
OG0001956	Sp07g00750, Sp07g00751	Wa8730a001g002810_P001
OG0001957	Sp07g00753	Wa8730a012g002840_P001
OG0001958	Sp07g00764	Wa8730a012g002870_P001, Wa8730a012g002860_P001
OG0001959	Sp07g00767	Wa8730a012g003290_P001, Wa8730a012g003290_P002
OG0001960	Sp07g00779	Wa8730a013g001420_P001
OG0001961	Sp07g00783	Wa8730a012g003320_P001
OG0001962	Sp07g00930	Wa8730a012g003530_P001
OG0001963	Sp07g00822	Wa8730a012g003600_P001
OG0001964	Sp07g00824	Wa8730a012g003620_P001
OG0001966	Sp18g00176	Wa8730a012g003890_P001
OG0001967	Sp07g00946	Wa8730a012g004440_P001
OG0001968	Sp07g00959	Wa8730a012g004480_P001
OG0001969	Sp07g00973, Sp07g00975	Wa8730a012g004690_P001
OG0001970	Sp07g00977	Wa8730a012g004600_P001
OG0001971	Sp07g00990, Sp02g00536	Wa8730a002g006530_P001
OG0001972	Sp07g01003	Wa8730a005g002310_P001
OG0001974	Sp07g01013	Wa8730a012g004930_P001
OG0001975	Sp07g01014	Wa8730a012g004920_P001
OG0001976	Sp07g01020	Wa8730a012g004880_P001
OG0001977	Sp07g01024	Wa8730a016g000650_P001
OG0001978	Sp07g01048	Wa8730a012g005100_P001
OG0001979	Sp07g01068	Wa8730a016g000230_P001
OG0001980	Sp03g01047	Wa8730a012g005370_P001
OG0001981	Sp07g01095	Wa8730a012g005380_P001
OG0001982	Sp05g00714	Wa8730a010g000640_P001
OG0001983	Sp16g00569	Wa8730a006g001140_P001
OG0001984	Sp16g00564	Wa8730a006g001220_P001
OG0001985	Sp16g00560	Wa8730a006g001240_P001
OG0001986	Sp16g00543	Wa8730a006g001420_P001
OG0001987	Sp16g00521	Wa8730a006g001480_P001
OG0001988	Sp01g01404	Wa8730a004g005640_P001
OG0001989	Sp04g01436, Sp01g01478	Wa8730a006g006850_P001
OG0001990	Sp01g01486	Wa8730a001g002310_P001
OG0001991	Sp01g01498	Wa8730a001g006990_P001, Wa8730a001g006990_P002
OG0001992	Sp01g01520	Wa8730a001g007210_P001
OG0001993	Sp01g01524	Wa8730a001g010340_P001, Wa8730a001g010340_P002
OG0001994	Sp01g01543	Wa8730a001g010490_P001
OG0001995	Sp01g01581	Wa8730a001g010650_P001
OG0001996	Sp01g01563	Wa8730a001g010730_P001
OG0001997	Sp10g01006, Sp01g01566	Wa8730a001g010790_P001
OG0001998	Sp01g01582	Wa8730a001g010930_P001, Wa8730a001g010930_P002
OG0001999	Sp06g01281, Sp01g01711	Wa8730a001g011840_P001
OG0002000	Sp01g01761, Sp10g01081	Wa8730a001g012140_P001
OG0002001	Sp01g01768	Wa8730a001g012220_P001
OG0002002	Sp01g01822	Wa8730a009g000070_P001
OG0002003	Sp01g01841	Wa8730a001g012600_P002, Wa8730a001g012600_P001
OG0002004	Sp01g01342	Wa8730a001g005950_P001, Wa8730a001g006060_P001
OG0002005	Sp01g01334, Sp01g01335	Wa8730a001g006030_P001
OG0002006	Sp01g01305	Wa8730a001g005790_P001
OG0002007	Sp01g01301	Wa8730a001g005770_P001
OG0002008	Sp01g01300	Wa8730a001g005760_P001
OG0002009	Sp01g01277	Wa8730a001g005530_P001
OG0002010	Sp05g01065	Wa8730a010g006660_P001
OG0002011	Sp01g01232	Wa8730a001g005250_P001
OG0002012	Sp01g01217	Wa8730a001g005240_P001
OG0002013	Sp10g00869, Sp01g01196	Wa8730a009g003240_P001
OG0002014	Sp06g00088, Sp01g01166	Wa8730a001g004890_P001
OG0002015	Sp01g01154	Wa8730a001g004820_P002, Wa8730a001g004820_P001
OG0002016	Sp01g01123	Wa8730a001g004610_P001
OG0002017	Sp01g01119, Sp01g01118	Wa8730a001g004580_P001
OG0002018	Sp01g01112, Sp01g01113	Wa8730a001g004410_P001
OG0002019	Sp06g00977	Wa8730a001g004360_P001
OG0002020	Sp12g00038, Sp01g01076	Wa8730a015g006080_P001
OG0002021	Sp01g01073	Wa8730a001g004200_P001
OG0002022	Sp01g01054	Wa8730a001g004070_P002, Wa8730a001g004070_P001
OG0002023	Sp06g00964, Sp01g01037	Wa8730a018g002210_P001
OG0002024	Sp01g01004	Wa8730a001g003800_P001
OG0002025	Sp10g00618	Wa8730a001g007070_P002
OG0002026	Sp01g00942	Wa8730a001g002760_P001
OG0002027	Sp01g00941	Wa8730a001g002750_P001
OG0002028	Sp01g00916, Sp01g00915	Wa8730a001g002790_P001
OG0002029	Sp01g00902	Wa8730a001g002910_P001, Wa8730a001g002910_P002
OG0002030	Sp01g00855	Wa8730a001g003290_P001
OG0002031	Sp01g00838, Sp01g00836	Wa8730a001g002730_P001
OG0002033	Sp01g00772	Wa8730a001g002350_P002, Wa8730a001g002350_P001
OG0002034	Sp01g00712	Wa8730a001g001720_P001
OG0002035	Sp01g00701, Sp01g00702	Wa8730a001g001500_P001
OG0002036	Sp01g00700, Sp01g00699	Wa8730a001g001490_P001
OG0002037	Sp06g00488, Sp01g00667	Wa8730a019g002850_P001
OG0002038	Sp01g00665	Wa8730a001g001300_P001, Wa8730a001g001310_P001
OG0002039	Sp01g00639	Wa8730a001g001240_P001
OG0002040	Sp01g00624, Sp01g00618	Wa8730a001g001140_P001
OG0002042	Sp06g00567, Sp01g00601	Wa8730a019g003260_P001
OG0002043	Sp01g00592	Wa8730a001g000970_P001
OG0002044	Sp01g00569	Wa8730a001g000740_P001
OG0002045	Sp01g00544, Sp01g00545	Wa8730a001g000550_P001
OG0002046	Sp01g00526	Wa8730a001g000430_P001
OG0002047	Sp01g00509	Wa8730a001g000360_P001
OG0002048	Sp01g00504	Wa8730a001g000300_P002, Wa8730a001g000300_P001
OG0002049	Sp01g00456, Sp01g00457	Wa8730a001g000020_P001
OG0002050	Sp01g00455	Wa8730a004g004880_P002, Wa8730a004g004880_P001
OG0002051	Sp01g00438	Wa8730a009g004450_P001
OG0002052	Sp01g00427	Wa8730a009g005340_P001
OG0002053	Sp01g00371	Wa8730a009g005060_P001
OG0002054	Sp01g00341	Wa8730a009g004740_P001
OG0002055	Sp03g01241, Sp01g00336	Wa8730a009g004730_P001
OG0002056	Sp01g00304	Wa8730a009g005410_P002, Wa8730a009g005410_P001
OG0002057	Sp01g00302	Wa8730a009g005480_P001
OG0002058	Sp01g00298	Wa8730a009g005450_P001
OG0002059	Sp01g00279	Wa8730a009g005580_P001
OG0002060	Sp01g00251	Wa8730a014g001510_P001
OG0002061	Sp01g00249	Wa8730a009g005850_P001
OG0002062	Sp01g00140, Sp01g00145	Wa8730a009g006250_P001
OG0002063	Sp01g00160	Wa8730a009g006680_P001
OG0002064	Sp01g00125, Sp01g00126	Wa8730a009g006340_P001
OG0002065	Sp09g01110, Sp01g00058	Wa8730a014g000290_P001
OG0002066	Sp15g00038, Sp01g00019	Wa8730a001g007380_P001
OG0002067	Sp10g00007, Sp10g00008	Wa8730a006g001880_P001
OG0002068	Sp10g00032	Wa8730a020g003120_P001
OG0002069	Sp10g00037	Wa8730a020g003050_P001
OG0002070	Sp10g00078	Wa8730a006g002760_P001, Wa8730a013g002600_P001
OG0002072	Sp10g00088	Wa8730a020g002850_P001
OG0002073	Sp10g00134	Wa8730a020g002480_P001, Wa8730a020g002470_P001
OG0002074	Sp10g00135	Wa8730a020g002440_P001
OG0002075	Sp10g00151, Sp10g00152	Wa8730a020g002060_P001
OG0002076	Sp10g00180	Wa8730a020g002120_P001
OG0002077	Sp10g00183	Wa8730a020g002250_P001, Wa8730a020g002260_P001
OG0002078	Sp10g00188	Wa8730a020g000780_P001, Wa8730a020g000790_P001
OG0002079	Sp10g00189	Wa8730a020g000610_P001, Wa8730a020g000620_P001
OG0002080	Sp10g00225, Sp10g00226	Wa8730a020g001760_P001
OG0002081	Sp10g00229	Wa8730a020g001790_P001
OG0002082	Sp10g00291	Wa8730a020g001280_P001
OG0002083	Sp10g00302	Wa8730a020g001120_P001
OG0002084	Sp10g00336	Wa8730a020g000230_P001, Wa8730a020g000230_P002
OG0002085	Sp10g00347	Wa8730a020g000270_P001, Wa8730a020g000270_P002, Wa8730a020g000270_P003
OG0002086	Sp10g00380	Wa8730a020g000760_P001, Wa8730a020g000770_P001
OG0002087	Sp10g00398, Sp10g00394	Wa8730a020g000660_P001
OG0002088	Sp08g00224, Sp10g00404	Wa8730a020g000630_P001
OG0002089	Sp10g00419	Wa8730a020g000870_P001, Wa8730a020g000860_P001
OG0002090	Sp10g00439	Wa8730a020g000980_P001
OG0002091	Sp10g00450	Wa8730a020g001040_P001, Wa8730a020g001030_P001
OG0002092	Sp10g00469	Wa8730a009g004530_P001, Wa8730a010g004100_P001, Wa8730a010g004100_P002
OG0002094	Sp10g00516	Wa8730a009g004150_P001
OG0002095	Sp10g00535	Wa8730a009g004110_P001
OG0002097	Sp10g00580	Wa8730a009g003930_P001
OG0002098	Sp10g00583	Wa8730a009g003800_P001, Wa8730a005g006700_P001
OG0002099	Sp10g00608	Wa8730a009g003620_P001
OG0002100	Sp10g00633	Wa8730a009g001760_P001
OG0002101	Sp10g00679	Wa8730a009g001940_P001
OG0002102	Sp06g00463	Wa8730a019g002640_P001
OG0002103	Sp10g00696	Wa8730a009g002110_P001
OG0002104	Sp10g00702, Sp06g00848	Wa8730a009g002150_P001
OG0002105	Sp10g00719, Sp16g00247	Wa8730a006g003670_P001
OG0002106	Sp10g00742	Wa8730a009g002350_P001
OG0002107	Sp10g00746	Wa8730a009g002410_P001, Wa8730a009g002410_P002
OG0002108	Sp10g00767	Wa8730a009g002540_P001
OG0002110	Sp10g00825, Sp10g00814	Wa8730a009g002660_P001
OG0002111	Sp10g00866, Sp10g00865	Wa8730a009g003200_P001
OG0002112	Sp10g00868	Wa8730a009g003260_P001
OG0002113	Sp10g00872	Wa8730a009g003280_P001
OG0002114	Sp06g01051	Wa8730a018g001470_P001
OG0002115	Sp10g00936	Wa8730a009g001450_P001
OG0002116	Sp13g00809, Sp10g00981	Wa8730a009g000830_P001
OG0002117	Sp10g01000	Wa8730a009g000720_P002, Wa8730a009g000720_P001
OG0002118	Sp10g01041	Wa8730a009g000470_P001
OG0002119	Sp10g01070	Wa8730a009g000350_P001, Wa8730a009g000360_P001
OG0002120	Sp10g01071	Wa8730a009g000370_P001, Wa8730a009g000370_P002
OG0002121	Sp10g01117	Wa8730a009g000120_P002, Wa8730a009g000120_P001
OG0002122	Sp10g01119	Wa8730a009g000150_P002, Wa8730a009g000150_P001
OG0002123	Sp20g00542	Wa8730a017g000360_P001
OG0002124	Sp20g00536	Wa8730a017g000370_P001
OG0002125	Sp20g00529	Wa8730a011g001110_P001
OG0002126	Sp20g00510, Sp20g00511	Wa8730a011g002840_P001
OG0002127	Sp20g00492	Wa8730a017g000630_P001, Wa8730a017g000620_P001
OG0002128	Sp20g00458	Wa8730a005g002750_P001
OG0002129	Sp20g00390, Sp20g00389	Wa8730a017g001530_P001
OG0002130	Sp20g00388	Wa8730a017g001540_P002, Wa8730a017g001540_P001
OG0002131	Sp02g01041, Sp20g00382	Wa8730a002g001670_P001
OG0002132	Sp20g00358	Wa8730a017g001430_P001
OG0002133	Sp20g00357	Wa8730a017g001380_P001, Wa8730a017g001390_P001
OG0002134	Sp20g00344	Wa8730a017g001640_P001, Wa8730a017g001640_P002
OG0002135	Sp20g00340	Wa8730a017g001940_P001
OG0002136	Sp20g00331	Wa8730a017g002000_P001
OG0002137	Sp20g00322	Wa8730a017g001300_P001
OG0002139	Sp20g00309	Wa8730a013g002310_P001, Wa8730a017g001970_P001
OG0002140	Sp20g00288	Wa8730a017g002060_P001, Wa8730a017g002060_P002
OG0002141	Sp13g00141	Wa8730a002g003280_P001
OG0002142	Sp02g01251, Sp20g00213	Wa8730a017g002690_P001
OG0002143	Sp20g00148	Wa8730a017g003170_P001
OG0002144	Sp20g00127	Wa8730a017g003250_P001
OG0002145	Sp20g00109	Wa8730a017g003340_P001
OG0002146	Sp20g00100	Wa8730a017g003460_P002, Wa8730a017g003460_P001
OG0002147	Sp02g00358, Sp20g00095	Wa8730a002g008060_P001
OG0002148	Sp11g00149, Sp20g00080	Wa8730a017g003720_P001
OG0002149	Sp20g00064	Wa8730a017g003600_P002, Wa8730a017g003600_P001
OG0002150	Sp20g00044	Wa8730a004g000280_P001
OG0002151	Sp20g00022	Wa8730a004g000200_P001, Wa8730a004g000200_P002
OG0002152	Sp20g00009	Wa8730a016g004190_P001, Wa8730a004g000090_P001
OG0002153	Sp16g00700	Wa8730a006g000110_P002, Wa8730a006g000110_P001
