Orthogroup	Sp9509_oxford_v3.proteins	Sp7498_pacbio.protein
OG0003120	Sp08g01162	g996.t1
OG0003121	Sp08g01156	g1004.t1
OG0003122	Sp08g01154	g1006.t1
OG0003123	Sp08g01151	g1008.t1
OG0003124	Sp08g01150	g1009.t1
OG0003125	Sp08g01145	g1014.t1
OG0003126	Sp08g01140	g1019.t1
OG0003127	Sp08g01139	g1020.t1
OG0003128	Sp08g01129	g1027.t1
OG0003129	Sp08g01120	g1037.t1
OG0003130	Sp08g01118	g1040.t1
OG0003131	Sp08g01116	g1042.t1
OG0003132	Sp08g01112	g1045.t1
OG0003133	Sp08g01110	g1046.t1
OG0003134	Sp08g01107	g1049.t1
OG0003135	Sp08g01105	g1051.t1
OG0003136	Sp08g01103, Sp08g01102	g1053.t1
OG0003137	Sp08g01101	g1054.t1
OG0003138	Sp08g01099	g1056.t1
OG0003139	Sp08g01095	g1060.t1
OG0003140	Sp08g01085	g1069.t1
OG0003141	Sp08g01084	g1070.t1
OG0003142	Sp08g01079	g1075.t1
OG0003143	Sp08g01076	g1078.t1
OG0003144	Sp05g00157	g6952.t1
OG0003144	Sp08g01073	g1079.t1
OG0003145	Sp08g01072	g1080.t1
OG0003146	Sp08g01071	g1081.t1
OG0003147	Sp05g00158	g6951.t1
OG0003147	Sp08g01070	g1082.t1
OG0003148	Sp08g01069	g1083.t1
OG0003149	Sp08g01068	g1084.t1
OG0003150	Sp08g01066	g1086.t1
OG0003151	Sp08g01062	g1089.t1
OG0003152	Sp08g01060	g1091.t1
OG0003153	Sp08g01059	g1092.t1
OG0003154	Sp08g01058	g1093.t1
OG0003155	Sp08g01055	g1096.t1
OG0003156	Sp08g01050	g1100.t1
OG0003157	Sp08g01049	g1101.t1
OG0003158	Sp08g01048	g1102.t1
OG0003159	Sp08g01047	g1103.t1
OG0003160	Sp08g01045	g1104.t1
OG0003161	Sp08g01044	g1105.t1
OG0003162	Sp08g01043	g1106.t1
OG0003163	Sp08g01028	g1119.t1
OG0003164	Sp08g01023	g1124.t1
OG0003165	Sp08g01022	g1125.t1
OG0003166	Sp08g01020	g1126.t1
OG0003167	Sp08g00994	g1138.t1
OG0003168	Sp08g00989	g1143.t1
OG0003169	Sp08g00984	g1148.t1
OG0003170	Sp08g00983	g1149.t1
OG0003171	Sp08g00979	g1153.t1
OG0003172	Sp08g00978	g1154.t1
OG0003173	Sp08g00977	g1155.t1
OG0003174	Sp08g00973	g1156.t1
OG0003175	Sp08g00970	g1159.t1
OG0003176	Sp08g00967	g1161.t1
OG0003177	Sp08g00964	g1164.t1
OG0003178	Sp08g00959	g1171.t1
OG0003179	Sp08g00957	g1174.t1
OG0003180	Sp08g00956	g1175.t1
OG0003181	Sp08g00955	g1176.t1
OG0003182	Sp08g00954	g1178.t1
OG0003183	Sp08g00953	g1179.t1
OG0003184	Sp08g00952	g1180.t1
OG0003185	Sp08g00946	g1184.t1
OG0003186	Sp08g00945	g1185.t1
OG0003187	Sp08g00936	g1194.t1
OG0003188	Sp08g00935	g1195.t1
OG0003189	Sp08g00933	g1197.t1
OG0003190	Sp08g00931	g1199.t1
OG0003191	Sp08g00927	g1204.t1
OG0003192	Sp08g00920	g1211.t1
OG0003193	Sp08g00918	g1221.t1
OG0003194	Sp08g00914	g1225.t1
OG0003195	Sp08g00913	g1226.t1
OG0003196	Sp08g00912	g1227.t1
OG0003197	Sp08g00908	g1230.t1
OG0003198	Sp08g00906	g1232.t1
OG0003199	Sp08g00902	g1236.t1
OG0003200	Sp08g00901	g1237.t1
OG0003201	Sp08g00898	g1239.t1
OG0003202	Sp08g00890	g1246.t1
OG0003203	Sp08g00877	g1249.t1
OG0003204	Sp08g00876	g1250.t1
OG0003205	Sp08g00875	g1251.t1
OG0003206	Sp08g00870	g1256.t1
OG0003207	Sp08g00869	g1257.t1
OG0003208	Sp08g00868	g1258.t1
OG0003209	Sp08g00843	g1277.t1
OG0003210	Sp08g00842	g1278.t1
OG0003211	Sp08g00840	g1279.t1
OG0003212	Sp08g00838	g1281.t1
OG0003213	Sp08g00833	g1283.t1
OG0003214	Sp08g00829	g1287.t1
OG0003215	Sp08g00819	g1292.t1
OG0003216	Sp08g00815	g1296.t1
OG0003217	Sp08g00803	g1303.t1
OG0003218	Sp08g00800	g1306.t1
OG0003219	Sp08g00799	g1307.t1
OG0003220	Sp08g00797	g1308.t1
OG0003221	Sp08g00795	g1310.t1
OG0003222	Sp08g00794	g1311.t1
OG0003223	Sp08g00793	g1312.t1
OG0003224	Sp08g00786	g1318.t1
OG0003225	Sp08g00783	g1321.t1
OG0003226	Sp08g00781	g1323.t1
OG0003227	Sp08g00764	g1330.t1
OG0003228	Sp08g00761	g1334.t1
OG0003229	Sp08g00759	g1335.t1
OG0003230	Sp08g00758	g1336.t1
OG0003231	Sp08g00757	g1337.t1
OG0003232	Sp08g00754	g1340.t1
OG0003233	Sp08g00751	g1343.t1
OG0003234	Sp08g00750	g1344.t1
OG0003235	Sp08g00745	g1348.t1
OG0003236	Sp08g00738	g1353.t1
OG0003237	Sp08g00732	g1358.t1
OG0003238	Sp08g00731	g1359.t1
OG0003239	Sp08g00730	g1360.t1
OG0003240	Sp08g00728	g1362.t1
OG0003241	Sp08g00722	g1369.t1
OG0003242	Sp08g00719	g1373.t1
OG0003243	Sp08g00718	g1374.t1
OG0003244	Sp08g00716	g1376.t1
OG0003245	Sp08g00714	g1378.t1
OG0003246	Sp08g00706	g1384.t1
OG0003247	Sp08g00704	g1386.t1
OG0003248	Sp08g00703	g1389.t1
OG0003249	Sp08g00702	g1390.t1
OG0003250	Sp08g00700	g1392.t1
OG0003251	Sp08g00691	g1401.t1
OG0003252	Sp08g00686	g1408.t1, g18692.t1, g1404.t1
OG0003253	Sp08g00677	g1417.t1
OG0003254	Sp08g00674	g1420.t1
OG0003255	Sp08g00671	g1423.t1
OG0003256	Sp08g00666	g1428.t1
OG0003257	Sp08g00661	g1432.t1
OG0003258	Sp08g00657	g1436.t1
OG0003259	Sp08g00655	g1438.t1
OG0003260	Sp08g00654	g1439.t1
OG0003261	Sp08g00652	g1441.t1
OG0003262	Sp08g00651	g1442.t1
OG0003263	Sp08g00650	g1443.t1
OG0003264	Sp08g00649	g1444.t1
OG0003265	Sp08g00635	g1458.t1
OG0003266	Sp08g00632	g1461.t1
OG0003267	Sp08g00631	g1462.t1
OG0003268	Sp08g00626	g1466.t1
OG0003269	Sp08g00624	g1468.t1
OG0003270	Sp08g00623	g1470.t1
OG0003271	Sp08g00616	g1473.t1
OG0003272	Sp08g00613	g1476.t1
OG0003273	Sp08g00609	g1480.t1
OG0003274	Sp08g00607	g1482.t1
OG0003275	Sp08g00606	g1483.t1
OG0003276	Sp08g00601	g1488.t1
OG0003277	Sp08g00598	g1491.t1
OG0003278	Sp08g00596	g1493.t1
OG0003279	Sp08g00593	g1496.t1
OG0003280	Sp08g00592	g1497.t1
OG0003281	Sp08g00591	g1498.t1
OG0003282	Sp08g00588	g1501.t1
OG0003283	Sp08g00586	g1502.t1
OG0003284	Sp08g00585	g1503.t1
OG0003285	Sp08g00584	g1504.t1
OG0003286	Sp08g00583	g1505.t1
OG0003287	Sp08g00580	g1509.t1
OG0003288	Sp08g00577	g1512.t1
OG0003289	Sp08g00576	g1513.t1
OG0003290	Sp08g00569	g1521.t1
OG0003291	Sp08g00565	g1525.t1
OG0003292	Sp08g00564	g1526.t1
OG0003293	Sp08g00559	g1531.t1
OG0003294	Sp08g00557	g1533.t1
OG0003295	Sp08g00556	g1535.t1
OG0003296	Sp08g00541	g1551.t1
OG0003297	Sp08g00535	g1556.t1
OG0003298	Sp08g00534	g1557.t1
OG0003299	Sp08g00530	g1562.t1
OG0003300	Sp08g00527	g1564.t1
OG0003301	Sp08g00526	g1565.t1
OG0003302	Sp08g00525	g1566.t1
OG0003303	Sp08g00523	g1568.t1
OG0003304	Sp08g00518	g1573.t1
OG0003305	Sp08g00516	g1575.t1
OG0003306	Sp08g00512	g1578.t1
OG0003307	Sp08g00508	g1581.t1
OG0003308	Sp08g00503	g1586.t1
OG0003309	Sp08g00502	g8937.t1, g1587.t1
OG0003310	Sp08g00495	g1593.t1
OG0003311	Sp08g00491	g1597.t1
OG0003312	Sp08g00486	g1602.t1
OG0003313	Sp08g00485	g1603.t1
OG0003314	Sp08g00484	g1604.t1
OG0003315	Sp08g00481	g1607.t1
OG0003316	Sp08g00467	g1613.t1
OG0003317	Sp08g00466	g1614.t1
OG0003318	Sp08g00465	g1615.t1
OG0003319	Sp08g00464	g1617.t1
OG0003320	Sp08g00463	g1618.t1
OG0003321	Sp08g00461, Sp08g00460	g1622.t1, g1621.t1
OG0003324	Sp08g00456	g1627.t1
OG0003325	Sp08g00455	g1628.t1
OG0003326	Sp08g00452	g1630.t1
OG0003327	Sp08g00445	g1637.t1
OG0003328	Sp08g00441	g1643.t1
OG0003329	Sp08g00438	g1646.t1
OG0003330	Sp08g00433	g1650.t1
OG0003331	Sp08g00429	g1653.t1
OG0003332	Sp08g00422	g1658.t1
OG0003333	Sp08g00421	g1659.t1
OG0003334	Sp08g00419	g1661.t1
OG0003335	Sp08g00418	g1662.t1
OG0003336	Sp08g00416	g1664.t1
OG0003337	Sp08g00412	g1667.t1
OG0003338	Sp08g00411	g1669.t1
OG0003339	Sp08g00410	g1670.t1
OG0003340	Sp08g00406	g1674.t1
OG0003341	Sp08g00402	g1679.t1
OG0003342	Sp08g00400	g1681.t1
OG0003343	Sp08g00399	g1682.t1
OG0003344	Sp12g00039	g1686.t1
OG0003345	Sp08g00392	g1689.t1
OG0003346	Sp08g00391	g1690.t1
OG0003347	Sp08g00390	g1691.t1
OG0003348	Sp08g00388	g1693.t1
OG0003349	Sp08g00387	g1694.t1
OG0003350	Sp08g00381	g1700.t1
OG0003351	Sp08g00380	g1701.t1
OG0003352	Sp08g00372	g1707.t1
OG0003353	Sp08g00366	g1714.t1
OG0003354	Sp08g00360	g1719.t1
OG0003355	Sp08g00359	g1721.t1
OG0003356	Sp08g00358	g1722.t1
OG0003357	Sp08g00357	g1723.t1
OG0003358	Sp08g00354	g1726.t1
OG0003359	Sp08g00347	g1731.t1
OG0003360	Sp08g00343	g1735.t1
OG0003361	Sp08g00341	g1736.t1
OG0003362	Sp08g00340	g1737.t1
OG0003363	Sp08g00335	g1744.t1
OG0003364	Sp08g00334	g1745.t1
OG0003365	Sp08g00331	g1747.t1
OG0003366	Sp08g00329	g1749.t1
OG0003367	Sp08g00327	g1751.t1
OG0003368	Sp08g00324	g1754.t1
OG0003369	Sp08g00320	g1758.t1
OG0003370	Sp08g00316	g1761.t1
OG0003371	Sp08g00315	g1762.t1
OG0003372	Sp08g00310	g1766.t1
OG0003373	Sp08g00309	g1767.t1
OG0003374	Sp08g00299	g1776.t1
OG0003375	Sp08g00294	g1780.t1
OG0003376	Sp08g00292	g1783.t1
OG0003377	Sp08g00288	g1787.t1
OG0003378	Sp08g00286	g1789.t1
OG0003379	Sp08g00284	g1791.t1
OG0003380	Sp08g00276	g1796.t1
OG0003381	Sp08g00270	g1803.t1
OG0003382	Sp08g00269	g1804.t1
OG0003383	Sp08g00265	g1807.t1
OG0003384	Sp08g00261	g1811.t1
OG0003385	Sp08g00255	g1817.t1
OG0003386	Sp08g00252	g1821.t1
OG0003387	Sp08g00246	g1826.t1
OG0003388	Sp08g00245	g1827.t1
OG0003389	Sp08g00243	g1829.t1
OG0003390	Sp08g00242	g1830.t1
OG0003391	Sp08g00241	g1831.t1
OG0003392	Sp08g00240	g1832.t1
OG0003393	Sp01g01685	g1836.t1
OG0003394	Sp01g01684	g1837.t1
OG0003395	Sp01g01682	g1839.t1
OG0003396	Sp01g01677	g1844.t1
OG0003397	Sp11g00323	g1846.t1
OG0003399	Sp01g01668	g1856.t1
OG0003400	Sp01g01660	g1869.t1
OG0003401	Sp01g01656	g1871.t1
OG0003402	Sp01g01650	g1876.t1
OG0003403	Sp01g01649	g1877.t1
OG0003404	Sp01g01648	g1878.t1
OG0003405	Sp01g01640	g1886.t1
OG0003406	Sp06g01252	g8677.t1
OG0003406	Sp01g01634	g1890.t1
OG0003407	Sp01g01633	g1891.t1
OG0003408	Sp01g01624	g1901.t1
OG0003409	Sp01g01620	g1902.t1
OG0003410	Sp01g01617	g1905.t1
OG0003411	Sp01g01616	g1907.t1
OG0003412	Sp01g01611	g1911.t1
OG0003413	Sp01g01607	g1914.t1
OG0003414	Sp01g01606	g1915.t1
OG0003415	Sp01g01601	g1920.t1
OG0003416	Sp01g01600	g1921.t1
OG0003417	Sp01g01599	g1923.t1
OG0003418	Sp01g01592	g1931.t1
OG0003419	Sp01g01591	g1932.t1
OG0003420	Sp01g01590	g1933.t1
OG0003421	Sp08g00234	g1935.t1
OG0003422	Sp08g00233	g1936.t1
OG0003423	Sp08g00231	g1938.t1
OG0003424	Sp08g00230	g1939.t1
OG0003425	Sp08g00229	g1940.t1
OG0003426	Sp08g00228	g1941.t1
OG0003427	Sp08g00218	g1945.t1
OG0003428	Sp08g00217	g1946.t1
OG0003429	Sp08g00216	g1947.t1
OG0003430	Sp08g00205	g1957.t1
OG0003431	Sp08g00204	g1958.t1
OG0003432	Sp08g00197	g1967.t1
OG0003433	Sp08g00193	g1971.t1
OG0003434	Sp08g00191	g1973.t1
OG0003435	Sp08g00177	g1988.t1
OG0003436	Sp08g00170	g1995.t1
OG0003437	Sp08g00167	g1997.t1
OG0003438	Sp08g00166	g1998.t1
OG0003439	Sp08g00164	g1999.t1
OG0003440	Sp08g00163	g2000.t1
OG0003441	Sp08g00160	g2003.t1
OG0003442	Sp08g00158	g2005.t1
OG0003443	Sp08g00157	g2006.t1
OG0003444	Sp08g00151	g2009.t1
OG0003445	Sp08g00146	g2014.t1
OG0003446	Sp08g00145	g2015.t1
OG0003447	Sp08g00140	g2018.t1
OG0003448	Sp08g00136	g2021.t1
OG0003449	Sp08g00134	g2022.t1
OG0003450	Sp08g00132	g2026.t1
OG0003451	Sp08g00126	g2032.t1
OG0003452	Sp08g00125	g2033.t1
OG0003453	Sp08g00117	g2041.t1
OG0003454	Sp08g00116	g2042.t1
OG0003455	Sp08g00112	g2045.t1
OG0003456	Sp08g00111	g2046.t1
OG0003457	Sp08g00103	g2052.t1
OG0003458	Sp08g00101	g2054.t1
OG0003459	Sp08g00096	g2059.t1
OG0003460	Sp08g00094	g2062.t1
OG0003461	Sp08g00091	g2066.t1
OG0003462	Sp08g00086	g2070.t1
OG0003463	Sp08g00078	g2077.t1
OG0003464	Sp08g00073	g2080.t1
OG0003465	Sp08g00072	g2081.t1
OG0003466	Sp08g00071	g2082.t1
OG0003467	Sp08g00064	g2088.t1
OG0003468	Sp08g00063	g2089.t1
OG0003469	Sp08g00062	g2090.t1
OG0003470	Sp08g00061	g2091.t1
OG0003471	Sp08g00060	g2093.t1
OG0003472	Sp08g00059	g2094.t1
OG0003473	Sp08g00056	g2096.t1
OG0003474	Sp08g00053	g2099.t1
OG0003475	Sp08g00051	g2101.t1
OG0003476	Sp07g00001	g2102.t1
OG0003477	Sp07g00003	g2104.t1
OG0003478	Sp07g00005	g2106.t1
OG0003479	Sp07g00012	g2114.t1
OG0003480	Sp07g00013	g2115.t1
OG0003481	Sp07g00014	g2117.t1
OG0003482	Sp07g00015	g2118.t1
OG0003483	Sp07g00019	g2122.t1
OG0003484	Sp07g00020	g2123.t1
OG0003485	Sp07g00029	g2132.t1
OG0003486	Sp07g00033	g2136.t1
OG0003487	Sp07g00041	g2145.t1
OG0003488	Sp07g00054	g2155.t1
OG0003489	Sp07g00056	g2157.t1
OG0003491	Sp07g00069	g2166.t1
OG0003492	Sp07g00075	g2172.t1
OG0003493	Sp07g00076	g2173.t1
OG0003494	Sp07g00077	g2174.t1
OG0003495	Sp07g00078	g2175.t1
OG0003496	Sp07g00081	g2178.t1
OG0003497	Sp07g00082	g2179.t1
OG0003498	Sp07g00083	g2181.t1
OG0003499	Sp07g00086	g2184.t1
OG0003500	Sp07g00090	g2187.t1
OG0003501	Sp07g00093	g2189.t1
OG0003502	Sp07g00095	g2190.t1
OG0003503	Sp07g00096	g2191.t1
OG0003504	Sp07g00100	g2194.t1
OG0003505	Sp07g00110	g2204.t1
OG0003506	Sp07g00111	g2205.t1
OG0003507	Sp07g00115	g2209.t1
OG0003508	Sp07g00116	g2210.t1
OG0003509	Sp07g00120	g2215.t1
OG0003510	Sp07g00121	g2216.t1
OG0003511	Sp03g00801	g2217.t1
OG0003512	Sp07g00126	g2221.t1
OG0003513	Sp07g00129	g2227.t1
OG0003514	Sp07g00130	g2228.t1
OG0003515	Sp07g00137	g2234.t1
OG0003516	Sp07g00140	g2238.t1
OG0003517	Sp07g00144	g2240.t1
OG0003518	Sp07g00145	g2241.t1
OG0003519	Sp07g00148	g2244.t1
OG0003520	Sp07g00153	g2249.t1
OG0003521	Sp07g00154	g2250.t1
OG0003522	Sp07g00155	g2251.t1
OG0003523	Sp07g00162	g2263.t1
OG0003524	Sp07g00215	g2265.t1
OG0003525	Sp07g00213	g2267.t1
OG0003526	Sp07g00212	g2268.t1
OG0003527	Sp07g00207	g2272.t1
OG0003528	Sp07g00204	g2274.t1
OG0003529	Sp07g00203	g2275.t1
OG0003530	Sp07g00200	g2278.t1
OG0003531	Sp07g00199	g2279.t1
OG0003532	Sp07g00195	g2285.t1
OG0003533	Sp07g00194	g2286.t1
OG0003534	Sp07g00192	g2288.t1
OG0003535	Sp07g00191	g2290.t1
OG0003536	Sp07g00187	g2293.t1
OG0003537	Sp07g00185	g2295.t1
OG0003538	Sp07g00183	g2298.t1
OG0003539	Sp07g00180	g2301.t1
OG0003540	Sp07g00179	g2302.t1
OG0003541	Sp07g00175	g2306.t1, g2305.t1
OG0003542	Sp07g00169	g2312.t1
OG0003543	Sp07g00168	g2313.t1
OG0003544	Sp07g00222	g2315.t1
OG0003545	Sp07g00223	g2316.t1
OG0003546	Sp07g00224	g2318.t1
OG0003547	Sp07g00227	g2321.t1
OG0003548	Sp07g00228	g2322.t1
OG0003549	Sp07g00229	g2323.t1
OG0003550	Sp07g00231	g2325.t1
OG0003551	Sp07g00233	g2327.t1
OG0003552	Sp07g00237	g2330.t1
OG0003553	Sp07g00240	g2333.t1
OG0003554	Sp07g00247	g2340.t1
OG0003555	Sp07g00248	g2341.t1
OG0003556	Sp07g00255	g2348.t1
OG0003557	Sp07g00258	g2351.t1
OG0003558	Sp07g00271	g2358.t1
OG0003559	Sp07g00275	g2362.t1
OG0003560	Sp07g00276	g2363.t1
OG0003561	Sp07g00277	g2364.t1
OG0003562	Sp07g00278	g2365.t1
OG0003563	Sp07g00279	g2368.t1
OG0003564	Sp07g00280	g2369.t1
OG0003565	Sp07g00286	g2373.t1, g2375.t1
OG0003566	Sp07g00293	g2384.t1
OG0003567	Sp07g00300	g2391.t1
OG0003568	Sp07g00303	g2393.t1
OG0003569	Sp07g00305	g2395.t1
OG0003570	Sp07g00307	g2397.t1
OG0003571	Sp07g00308	g2398.t1
OG0003572	Sp07g00309	g2399.t1
OG0003573	Sp07g00311	g2401.t1
OG0003574	Sp07g00314	g2403.t1
OG0003575	Sp07g00321	g2410.t1
OG0003576	Sp07g00325	g2415.t1
OG0003577	Sp07g00335	g2422.t1
OG0003578	Sp07g00336	g2423.t1
OG0003579	Sp07g00342	g2427.t1
OG0003580	Sp07g00344	g2429.t1
OG0003581	Sp07g00347	g2432.t1
OG0003582	Sp07g00349	g2434.t1
OG0003583	Sp07g00350	g2436.t1
OG0003584	Sp07g00355	g2441.t1
OG0003585	Sp07g00356	g2442.t1
OG0003586	Sp07g00359	g2445.t1
OG0003587	Sp07g00360	g2446.t1
OG0003588	Sp07g00364	g2449.t1
OG0003589	Sp07g00368	g2453.t1
OG0003590	Sp07g00370	g2456.t1
OG0003591	Sp07g00381	g2467.t1
OG0003592	Sp07g00382	g2468.t1
OG0003593	Sp07g00395	g2479.t1
OG0003594	Sp07g00397	g2481.t1
OG0003595	Sp07g00399	g2483.t1
OG0003596	Sp07g00400	g2484.t1
OG0003597	Sp07g00402	g2486.t1
OG0003598	Sp07g00406	g2490.t1
OG0003599	Sp07g00407	g2491.t1
OG0003600	Sp07g00413	g2497.t1
OG0003601	Sp07g00414	g2498.t1
OG0003602	Sp07g00416	g2501.t1
OG0003603	Sp07g00417	g2502.t1
OG0003604	Sp07g00418	g2503.t1
OG0003605	Sp07g00422	g2507.t1
OG0003606	Sp07g00423	g2508.t1
OG0003607	Sp07g00427	g2512.t1
OG0003608	Sp07g00428	g2513.t1
OG0003609	Sp07g00430	g2515.t1
OG0003610	Sp07g00431	g2516.t1
OG0003611	Sp07g00436	g2520.t1
OG0003612	Sp07g00439	g2524.t1
OG0003613	Sp07g00444	g2528.t1
OG0003614	Sp07g00445	g2529.t1
OG0003615	Sp07g00446	g2530.t1
OG0003616	Sp07g00447	g2531.t1
OG0003617	Sp07g00452	g2539.t1
OG0003618	Sp07g00455	g2543.t1
OG0003619	Sp07g00461	g2548.t1
OG0003620	Sp07g00463	g2550.t1
OG0003621	Sp07g00467	g2555.t1
OG0003622	Sp07g00470	g2558.t1
OG0003623	Sp07g00477	g2566.t1
OG0003624	Sp07g00482	g2571.t1
OG0003625	Sp07g00483	g2572.t1
OG0003626	Sp07g00485, Sp07g00484	g2573.t1
OG0003627	Sp07g00492	g2581.t1
OG0003628	Sp07g00493	g2582.t1
OG0003629	Sp07g00495	g2585.t1
OG0003630	Sp07g00496	g2586.t1
OG0003631	Sp07g00498	g2605.t1
OG0003632	Sp07g00500	g2609.t1
OG0003633	Sp07g00501	g2610.t1
OG0003634	Sp07g00502	g2611.t1
OG0003635	Sp07g00506	g2616.t1
OG0003636	Sp07g00508	g2618.t1
OG0003637	Sp07g00509	g2619.t1
OG0003638	Sp07g00510	g2620.t1
OG0003639	Sp07g00517	g2629.t1
OG0003640	Sp07g00519	g2630.t1
OG0003641	Sp07g00520	g2631.t1
OG0003642	Sp07g00521	g2632.t1
OG0003643	Sp07g00522	g2633.t1
OG0003644	Sp07g00524	g2634.t1
OG0003645	Sp07g00525	g2635.t1
OG0003646	Sp07g00527	g2637.t1
OG0003647	Sp07g00528	g2638.t1
OG0003648	Sp07g00529	g2639.t1
OG0003649	Sp07g00530	g2640.t1
OG0003650	Sp07g00532	g2642.t1
OG0003651	Sp07g00533	g2643.t1
OG0003652	Sp07g00537	g2647.t1
OG0003653	Sp07g00541	g2648.t1
OG0003654	Sp07g00542	g2649.t1
OG0003655	Sp07g00543	g2650.t1
OG0003656	Sp07g00550	g2656.t1
OG0003657	Sp07g00551	g2657.t1
OG0003658	Sp07g00555	g2661.t1
OG0003659	Sp07g00559	g2666.t1
OG0003660	Sp07g00561	g2668.t1
OG0003661	Sp07g00563	g2669.t1
OG0003662	Sp07g00564	g2670.t1
OG0003663	Sp07g00569	g2675.t1
OG0003664	Sp07g00571	g2677.t1
OG0003665	Sp07g00572	g2678.t1
OG0003666	Sp07g00573	g2679.t1
OG0003667	Sp07g00580	g2685.t1
OG0003668	Sp07g00585	g2690.t1
OG0003669	Sp07g00586	g2691.t1
OG0003670	Sp07g00588	g2693.t1
OG0003671	Sp07g00592	g2699.t1
OG0003672	Sp07g00595	g2704.t1
OG0003673	Sp07g00598	g2706.t1
OG0003674	Sp07g00602	g2709.t1
OG0003675	Sp07g00603	g2710.t1
OG0003676	Sp07g00604	g2711.t1
OG0003677	Sp07g00605	g2712.t1
OG0003678	Sp07g00606	g11090.t1, g2713.t1
OG0003679	Sp07g00607	g2714.t1
OG0003680	Sp07g00608	g2715.t1
OG0003681	Sp07g00610	g2717.t1
OG0003682	Sp07g00611	g2718.t1
OG0003683	Sp07g00615	g2721.t1
OG0003684	Sp07g00616	g2722.t1
OG0003685	Sp07g00618	g2724.t1
OG0003686	Sp07g00620	g2726.t1
OG0003687	Sp07g00632	g2738.t1
OG0003688	Sp07g00637	g2744.t1
OG0003689	Sp07g00657	g2747.t1
OG0003690	Sp07g00661	g2751.t1
OG0003691	Sp07g00668	g2756.t1
OG0003692	Sp07g00669	g2757.t1
OG0003693	Sp07g00672	g2761.t1
OG0003694	Sp07g00673	g2762.t1
OG0003695	Sp07g00682	g2772.t1
OG0003696	Sp07g00683	g2773.t1
OG0003697	Sp07g00687	g2776.t1
OG0003699	Sp07g00693	g2783.t1
OG0003700	Sp07g00697	g2787.t1
OG0003701	Sp07g00705	g2799.t1
OG0003702	Sp07g00707	g2801.t1
OG0003703	Sp07g00710	g2803.t1
OG0003704	Sp07g00724	g2816.t1
OG0003705	Sp07g00725	g2817.t1
OG0003706	Sp07g00726	g2819.t1
OG0003707	Sp07g00727	g2820.t1
OG0003708	Sp07g00733	g2826.t1
OG0003709	Sp07g00735	g2828.t1
OG0003710	Sp07g00736	g2829.t1
OG0003711	Sp07g00738	g2831.t1
OG0003712	Sp07g00744	g2836.t1
OG0003713	Sp07g00747	g2840.t1
OG0003714	Sp07g00752	g2844.t1
OG0003715	Sp16g00308	g2845.t1, g9185.t1
OG0003717	Sp07g00756	g2850.t1
OG0003718	Sp07g00759	g2853.t1
OG0003719	Sp07g00763	g2855.t1
OG0003720	Sp07g00765	g2857.t1
OG0003721	Sp07g00776	g2866.t1
OG0003722	Sp07g00777	g2867.t1
OG0003723	Sp07g00780	g2870.t1
OG0003724	Sp07g00782	g2872.t1
OG0003725	Sp07g00784	g2875.t1
OG0003726	Sp07g00785	g2876.t1
OG0003727	Sp07g00788	g2879.t1
OG0003728	Sp07g00793	g2883.t1
OG0003729	Sp07g00796	g2886.t1
OG0003730	Sp07g00797	g2887.t1
OG0003731	Sp07g00800	g2890.t1
OG0003732	Sp07g00802	g2892.t1
OG0003733	Sp07g00804	g2895.t1
OG0003734	Sp07g00807	g2897.t1
OG0003735	Sp07g00809	g2899.t1
OG0003736	Sp07g00811	g2901.t1
OG0003737	Sp07g00812	g2902.t1
OG0003738	Sp07g00813	g2903.t1
OG0003739	Sp07g00828	g2927.t1
OG0003740	Sp07g00839	g2932.t1
OG0003741	Sp07g00840	g2933.t1
OG0003742	Sp07g00841	g2934.t1
OG0003743	Sp07g00843	g2936.t1
OG0003744	Sp07g00847	g2941.t1
OG0003745	Sp07g00848	g2942.t1
OG0003746	Sp07g00855	g2950.t1
OG0003747	Sp07g00856	g2951.t1
OG0003748	Sp07g00857	g2952.t1
OG0003749	Sp07g00858	g2954.t1
OG0003750	Sp07g00864	g2959.t1
OG0003751	Sp07g00865	g2960.t1
OG0003752	Sp07g00866	g2961.t1
OG0003753	Sp07g00868	g2963.t1
OG0003754	Sp07g00871	g2966.t1
OG0003755	Sp07g00873	g2968.t1
OG0003756	Sp07g00885	g2972.t1
OG0003757	Sp07g00886	g2974.t1
OG0003758	Sp07g00888	g2975.t1
OG0003759	Sp07g00890	g2977.t1
OG0003760	Sp07g00893	g2979.t1
OG0003761	Sp07g00899	g2984.t1
OG0003762	Sp07g00906	g2991.t1
OG0003763	Sp07g00909	g2994.t1
OG0003764	Sp07g00917	g3003.t1
OG0003765	Sp07g00918	g3004.t1
OG0003766	Sp07g00924	g3006.t1
OG0003767	Sp07g00933	g3013.t1
OG0003768	Sp07g00936	g3017.t1
OG0003769	Sp07g00937	g3018.t1
OG0003770	Sp07g00966	g3046.t1
OG0003771	Sp07g00968	g3047.t1
OG0003772	Sp07g00969	g3050.t1
OG0003773	Sp07g00971	g3053.t1
OG0003774	Sp07g00972	g3054.t1
OG0003775	Sp07g00980	g3068.t1
OG0003776	Sp07g00981	g3069.t1
OG0003777	Sp07g00985	g3073.t1
OG0003778	Sp07g00987	g3075.t1
OG0003779	Sp07g00994	g3082.t1
OG0003780	Sp07g00996	g3084.t1
OG0003781	Sp07g00999	g3086.t1
OG0003782	Sp07g01002	g3087.t1, g3088.t1
