Orthogroup	Sp7498_pacbio.protein	Sp9509_oxford_v3.proteins
OG0003102	g949.t1	Sp08g01216
OG0003103	g950.t1	Sp08g01215
OG0003104	g951.t1	Sp08g01214
OG0003105	g956.t1	Sp08g01210
OG0003106	g963.t1	Sp08g01201
OG0003107	g965.t1	Sp08g01198
OG0003108	g969.t1	Sp08g01194
OG0003109	g970.t1	Sp08g01191
OG0003110	g973.t1	Sp08g01189
OG0003111	g974.t1	Sp08g01188
OG0003112	g980.t1	Sp08g01182
OG0003113	g981.t1	Sp08g01181
OG0003114	g984.t1	Sp08g01178
OG0003115	g988.t1	Sp08g01170
OG0003116	g990.t1	Sp08g01168
OG0003117	g991.t1	Sp08g01167
OG0003118	g993.t1	Sp08g01165
OG0003119	g995.t1	Sp08g01163
OG0003120	g996.t1	Sp08g01162
OG0003121	g1004.t1	Sp08g01156
OG0003122	g1006.t1	Sp08g01154
OG0003123	g1008.t1	Sp08g01151
OG0003124	g1009.t1	Sp08g01150
OG0003125	g1014.t1	Sp08g01145
OG0003126	g1019.t1	Sp08g01140
OG0003127	g1020.t1	Sp08g01139
OG0003128	g1027.t1	Sp08g01129
OG0003129	g1037.t1	Sp08g01120
OG0003130	g1040.t1	Sp08g01118
OG0003131	g1042.t1	Sp08g01116
OG0003132	g1045.t1	Sp08g01112
OG0003133	g1046.t1	Sp08g01110
OG0003134	g1049.t1	Sp08g01107
OG0003135	g1051.t1	Sp08g01105
OG0003136	g1053.t1	Sp08g01103, Sp08g01102
OG0003137	g1054.t1	Sp08g01101
OG0003138	g1056.t1	Sp08g01099
OG0003139	g1060.t1	Sp08g01095
OG0003140	g1069.t1	Sp08g01085
OG0003141	g1070.t1	Sp08g01084
OG0003142	g1075.t1	Sp08g01079
OG0003143	g1078.t1	Sp08g01076
OG0003144	g6952.t1	Sp05g00157
OG0003144	g1079.t1	Sp08g01073
OG0003145	g1080.t1	Sp08g01072
OG0003146	g1081.t1	Sp08g01071
OG0003147	g6951.t1	Sp05g00158
OG0003147	g1082.t1	Sp08g01070
OG0003148	g1083.t1	Sp08g01069
OG0003149	g1084.t1	Sp08g01068
OG0003150	g1086.t1	Sp08g01066
OG0003151	g1089.t1	Sp08g01062
OG0003152	g1091.t1	Sp08g01060
OG0003153	g1092.t1	Sp08g01059
OG0003154	g1093.t1	Sp08g01058
OG0003155	g1096.t1	Sp08g01055
OG0003156	g1100.t1	Sp08g01050
OG0003157	g1101.t1	Sp08g01049
OG0003158	g1102.t1	Sp08g01048
OG0003159	g1103.t1	Sp08g01047
OG0003160	g1104.t1	Sp08g01045
OG0003161	g1105.t1	Sp08g01044
OG0003162	g1106.t1	Sp08g01043
OG0003163	g1119.t1	Sp08g01028
OG0003164	g1124.t1	Sp08g01023
OG0003165	g1125.t1	Sp08g01022
OG0003166	g1126.t1	Sp08g01020
OG0003167	g1138.t1	Sp08g00994
OG0003168	g1143.t1	Sp08g00989
OG0003169	g1148.t1	Sp08g00984
OG0003170	g1149.t1	Sp08g00983
OG0003171	g1153.t1	Sp08g00979
OG0003172	g1154.t1	Sp08g00978
OG0003173	g1155.t1	Sp08g00977
OG0003174	g1156.t1	Sp08g00973
OG0003175	g1159.t1	Sp08g00970
OG0003176	g1161.t1	Sp08g00967
OG0003177	g1164.t1	Sp08g00964
OG0003178	g1171.t1	Sp08g00959
OG0003179	g1174.t1	Sp08g00957
OG0003180	g1175.t1	Sp08g00956
OG0003181	g1176.t1	Sp08g00955
OG0003182	g1178.t1	Sp08g00954
OG0003183	g1179.t1	Sp08g00953
OG0003184	g1180.t1	Sp08g00952
OG0003185	g1184.t1	Sp08g00946
OG0003186	g1185.t1	Sp08g00945
OG0003187	g1194.t1	Sp08g00936
OG0003188	g1195.t1	Sp08g00935
OG0003189	g1197.t1	Sp08g00933
OG0003190	g1199.t1	Sp08g00931
OG0003191	g1204.t1	Sp08g00927
OG0003192	g1211.t1	Sp08g00920
OG0003193	g1221.t1	Sp08g00918
OG0003194	g1225.t1	Sp08g00914
OG0003195	g1226.t1	Sp08g00913
OG0003196	g1227.t1	Sp08g00912
OG0003197	g1230.t1	Sp08g00908
OG0003198	g1232.t1	Sp08g00906
OG0003199	g1236.t1	Sp08g00902
OG0003200	g1237.t1	Sp08g00901
OG0003201	g1239.t1	Sp08g00898
OG0003202	g1246.t1	Sp08g00890
OG0003203	g1249.t1	Sp08g00877
OG0003204	g1250.t1	Sp08g00876
OG0003205	g1251.t1	Sp08g00875
OG0003206	g1256.t1	Sp08g00870
OG0003207	g1257.t1	Sp08g00869
OG0003208	g1258.t1	Sp08g00868
OG0003209	g1277.t1	Sp08g00843
OG0003210	g1278.t1	Sp08g00842
OG0003211	g1279.t1	Sp08g00840
OG0003212	g1281.t1	Sp08g00838
OG0003213	g1283.t1	Sp08g00833
OG0003214	g1287.t1	Sp08g00829
OG0003215	g1292.t1	Sp08g00819
OG0003216	g1296.t1	Sp08g00815
OG0003217	g1303.t1	Sp08g00803
OG0003218	g1306.t1	Sp08g00800
OG0003219	g1307.t1	Sp08g00799
OG0003220	g1308.t1	Sp08g00797
OG0003221	g1310.t1	Sp08g00795
OG0003222	g1311.t1	Sp08g00794
OG0003223	g1312.t1	Sp08g00793
OG0003224	g1318.t1	Sp08g00786
OG0003225	g1321.t1	Sp08g00783
OG0003226	g1323.t1	Sp08g00781
OG0003227	g1330.t1	Sp08g00764
OG0003228	g1334.t1	Sp08g00761
OG0003229	g1335.t1	Sp08g00759
OG0003230	g1336.t1	Sp08g00758
OG0003231	g1337.t1	Sp08g00757
OG0003232	g1340.t1	Sp08g00754
OG0003233	g1343.t1	Sp08g00751
OG0003234	g1344.t1	Sp08g00750
OG0003235	g1348.t1	Sp08g00745
OG0003236	g1353.t1	Sp08g00738
OG0003237	g1358.t1	Sp08g00732
OG0003238	g1359.t1	Sp08g00731
OG0003239	g1360.t1	Sp08g00730
OG0003240	g1362.t1	Sp08g00728
OG0003241	g1369.t1	Sp08g00722
OG0003242	g1373.t1	Sp08g00719
OG0003243	g1374.t1	Sp08g00718
OG0003244	g1376.t1	Sp08g00716
OG0003245	g1378.t1	Sp08g00714
OG0003246	g1384.t1	Sp08g00706
OG0003247	g1386.t1	Sp08g00704
OG0003248	g1389.t1	Sp08g00703
OG0003249	g1390.t1	Sp08g00702
OG0003250	g1392.t1	Sp08g00700
OG0003251	g1401.t1	Sp08g00691
OG0003252	g1408.t1, g18692.t1, g1404.t1	Sp08g00686
OG0003253	g1417.t1	Sp08g00677
OG0003254	g1420.t1	Sp08g00674
OG0003255	g1423.t1	Sp08g00671
OG0003256	g1428.t1	Sp08g00666
OG0003257	g1432.t1	Sp08g00661
OG0003258	g1436.t1	Sp08g00657
OG0003259	g1438.t1	Sp08g00655
OG0003260	g1439.t1	Sp08g00654
OG0003261	g1441.t1	Sp08g00652
OG0003262	g1442.t1	Sp08g00651
OG0003263	g1443.t1	Sp08g00650
OG0003264	g1444.t1	Sp08g00649
OG0003265	g1458.t1	Sp08g00635
OG0003266	g1461.t1	Sp08g00632
OG0003267	g1462.t1	Sp08g00631
OG0003268	g1466.t1	Sp08g00626
OG0003269	g1468.t1	Sp08g00624
OG0003270	g1470.t1	Sp08g00623
OG0003271	g1473.t1	Sp08g00616
OG0003272	g1476.t1	Sp08g00613
OG0003273	g1480.t1	Sp08g00609
OG0003274	g1482.t1	Sp08g00607
OG0003275	g1483.t1	Sp08g00606
OG0003276	g1488.t1	Sp08g00601
OG0003277	g1491.t1	Sp08g00598
OG0003278	g1493.t1	Sp08g00596
OG0003279	g1496.t1	Sp08g00593
OG0003280	g1497.t1	Sp08g00592
OG0003281	g1498.t1	Sp08g00591
OG0003282	g1501.t1	Sp08g00588
OG0003283	g1502.t1	Sp08g00586
OG0003284	g1503.t1	Sp08g00585
OG0003285	g1504.t1	Sp08g00584
OG0003286	g1505.t1	Sp08g00583
OG0003287	g1509.t1	Sp08g00580
OG0003288	g1512.t1	Sp08g00577
OG0003289	g1513.t1	Sp08g00576
OG0003290	g1521.t1	Sp08g00569
OG0003291	g1525.t1	Sp08g00565
OG0003292	g1526.t1	Sp08g00564
OG0003293	g1531.t1	Sp08g00559
OG0003294	g1533.t1	Sp08g00557
OG0003295	g1535.t1	Sp08g00556
OG0003296	g1551.t1	Sp08g00541
OG0003297	g1556.t1	Sp08g00535
OG0003298	g1557.t1	Sp08g00534
OG0003299	g1562.t1	Sp08g00530
OG0003300	g1564.t1	Sp08g00527
OG0003301	g1565.t1	Sp08g00526
OG0003302	g1566.t1	Sp08g00525
OG0003303	g1568.t1	Sp08g00523
OG0003304	g1573.t1	Sp08g00518
OG0003305	g1575.t1	Sp08g00516
OG0003306	g1578.t1	Sp08g00512
OG0003307	g1581.t1	Sp08g00508
OG0003308	g1586.t1	Sp08g00503
OG0003309	g8937.t1, g1587.t1	Sp08g00502
OG0003310	g1593.t1	Sp08g00495
OG0003311	g1597.t1	Sp08g00491
OG0003312	g1602.t1	Sp08g00486
OG0003313	g1603.t1	Sp08g00485
OG0003314	g1604.t1	Sp08g00484
OG0003315	g1607.t1	Sp08g00481
OG0003316	g1613.t1	Sp08g00467
OG0003317	g1614.t1	Sp08g00466
OG0003318	g1615.t1	Sp08g00465
OG0003319	g1617.t1	Sp08g00464
OG0003320	g1618.t1	Sp08g00463
OG0003321	g1622.t1, g1621.t1	Sp08g00461, Sp08g00460
OG0003324	g1627.t1	Sp08g00456
OG0003325	g1628.t1	Sp08g00455
OG0003326	g1630.t1	Sp08g00452
OG0003327	g1637.t1	Sp08g00445
OG0003328	g1643.t1	Sp08g00441
OG0003329	g1646.t1	Sp08g00438
OG0003330	g1650.t1	Sp08g00433
OG0003331	g1653.t1	Sp08g00429
OG0003332	g1658.t1	Sp08g00422
OG0003333	g1659.t1	Sp08g00421
OG0003334	g1661.t1	Sp08g00419
OG0003335	g1662.t1	Sp08g00418
OG0003336	g1664.t1	Sp08g00416
OG0003337	g1667.t1	Sp08g00412
OG0003338	g1669.t1	Sp08g00411
OG0003339	g1670.t1	Sp08g00410
OG0003340	g1674.t1	Sp08g00406
OG0003341	g1679.t1	Sp08g00402
OG0003342	g1681.t1	Sp08g00400
OG0003343	g1682.t1	Sp08g00399
OG0003344	g1686.t1	Sp12g00039
OG0003345	g1689.t1	Sp08g00392
OG0003346	g1690.t1	Sp08g00391
OG0003347	g1691.t1	Sp08g00390
OG0003348	g1693.t1	Sp08g00388
OG0003349	g1694.t1	Sp08g00387
OG0003350	g1700.t1	Sp08g00381
OG0003351	g1701.t1	Sp08g00380
OG0003352	g1707.t1	Sp08g00372
OG0003353	g1714.t1	Sp08g00366
OG0003354	g1719.t1	Sp08g00360
OG0003355	g1721.t1	Sp08g00359
OG0003356	g1722.t1	Sp08g00358
OG0003357	g1723.t1	Sp08g00357
OG0003358	g1726.t1	Sp08g00354
OG0003359	g1731.t1	Sp08g00347
OG0003360	g1735.t1	Sp08g00343
OG0003361	g1736.t1	Sp08g00341
OG0003362	g1737.t1	Sp08g00340
OG0003363	g1744.t1	Sp08g00335
OG0003364	g1745.t1	Sp08g00334
OG0003365	g1747.t1	Sp08g00331
OG0003366	g1749.t1	Sp08g00329
OG0003367	g1751.t1	Sp08g00327
OG0003368	g1754.t1	Sp08g00324
OG0003369	g1758.t1	Sp08g00320
OG0003370	g1761.t1	Sp08g00316
OG0003371	g1762.t1	Sp08g00315
OG0003372	g1766.t1	Sp08g00310
OG0003373	g1767.t1	Sp08g00309
OG0003374	g1776.t1	Sp08g00299
OG0003375	g1780.t1	Sp08g00294
OG0003376	g1783.t1	Sp08g00292
OG0003377	g1787.t1	Sp08g00288
OG0003378	g1789.t1	Sp08g00286
OG0003379	g1791.t1	Sp08g00284
OG0003380	g1796.t1	Sp08g00276
OG0003381	g1803.t1	Sp08g00270
OG0003382	g1804.t1	Sp08g00269
OG0003383	g1807.t1	Sp08g00265
OG0003384	g1811.t1	Sp08g00261
OG0003385	g1817.t1	Sp08g00255
OG0003386	g1821.t1	Sp08g00252
OG0003387	g1826.t1	Sp08g00246
OG0003388	g1827.t1	Sp08g00245
OG0003389	g1829.t1	Sp08g00243
OG0003390	g1830.t1	Sp08g00242
OG0003391	g1831.t1	Sp08g00241
OG0003392	g1832.t1	Sp08g00240
OG0003393	g1836.t1	Sp01g01685
OG0003394	g1837.t1	Sp01g01684
OG0003395	g1839.t1	Sp01g01682
OG0003396	g1844.t1	Sp01g01677
OG0003397	g1846.t1	Sp11g00323
OG0003399	g1856.t1	Sp01g01668
OG0003400	g1869.t1	Sp01g01660
OG0003401	g1871.t1	Sp01g01656
OG0003402	g1876.t1	Sp01g01650
OG0003403	g1877.t1	Sp01g01649
OG0003404	g1878.t1	Sp01g01648
OG0003405	g1886.t1	Sp01g01640
OG0003406	g8677.t1	Sp06g01252
OG0003406	g1890.t1	Sp01g01634
OG0003407	g1891.t1	Sp01g01633
OG0003408	g1901.t1	Sp01g01624
OG0003409	g1902.t1	Sp01g01620
OG0003410	g1905.t1	Sp01g01617
OG0003411	g1907.t1	Sp01g01616
OG0003412	g1911.t1	Sp01g01611
OG0003413	g1914.t1	Sp01g01607
OG0003414	g1915.t1	Sp01g01606
OG0003415	g1920.t1	Sp01g01601
OG0003416	g1921.t1	Sp01g01600
OG0003417	g1923.t1	Sp01g01599
OG0003418	g1931.t1	Sp01g01592
OG0003419	g1932.t1	Sp01g01591
OG0003420	g1933.t1	Sp01g01590
OG0003421	g1935.t1	Sp08g00234
OG0003422	g1936.t1	Sp08g00233
OG0003423	g1938.t1	Sp08g00231
OG0003424	g1939.t1	Sp08g00230
OG0003425	g1940.t1	Sp08g00229
OG0003426	g1941.t1	Sp08g00228
OG0003427	g1945.t1	Sp08g00218
OG0003428	g1946.t1	Sp08g00217
OG0003429	g1947.t1	Sp08g00216
OG0003430	g1957.t1	Sp08g00205
OG0003431	g1958.t1	Sp08g00204
OG0003432	g1967.t1	Sp08g00197
OG0003433	g1971.t1	Sp08g00193
OG0003434	g1973.t1	Sp08g00191
OG0003435	g1988.t1	Sp08g00177
OG0003436	g1995.t1	Sp08g00170
OG0003437	g1997.t1	Sp08g00167
OG0003438	g1998.t1	Sp08g00166
OG0003439	g1999.t1	Sp08g00164
OG0003440	g2000.t1	Sp08g00163
OG0003441	g2003.t1	Sp08g00160
OG0003442	g2005.t1	Sp08g00158
OG0003443	g2006.t1	Sp08g00157
OG0003444	g2009.t1	Sp08g00151
OG0003445	g2014.t1	Sp08g00146
OG0003446	g2015.t1	Sp08g00145
OG0003447	g2018.t1	Sp08g00140
OG0003448	g2021.t1	Sp08g00136
OG0003449	g2022.t1	Sp08g00134
OG0003450	g2026.t1	Sp08g00132
OG0003451	g2032.t1	Sp08g00126
OG0003452	g2033.t1	Sp08g00125
OG0003453	g2041.t1	Sp08g00117
OG0003454	g2042.t1	Sp08g00116
OG0003455	g2045.t1	Sp08g00112
OG0003456	g2046.t1	Sp08g00111
OG0003457	g2052.t1	Sp08g00103
OG0003458	g2054.t1	Sp08g00101
OG0003459	g2059.t1	Sp08g00096
OG0003460	g2062.t1	Sp08g00094
OG0003461	g2066.t1	Sp08g00091
OG0003462	g2070.t1	Sp08g00086
OG0003463	g2077.t1	Sp08g00078
OG0003464	g2080.t1	Sp08g00073
OG0003465	g2081.t1	Sp08g00072
OG0003466	g2082.t1	Sp08g00071
OG0003467	g2088.t1	Sp08g00064
OG0003468	g2089.t1	Sp08g00063
OG0003469	g2090.t1	Sp08g00062
OG0003470	g2091.t1	Sp08g00061
OG0003471	g2093.t1	Sp08g00060
OG0003472	g2094.t1	Sp08g00059
OG0003473	g2096.t1	Sp08g00056
OG0003474	g2099.t1	Sp08g00053
OG0003475	g2101.t1	Sp08g00051
OG0003476	g2102.t1	Sp07g00001
OG0003477	g2104.t1	Sp07g00003
OG0003478	g2106.t1	Sp07g00005
OG0003479	g2114.t1	Sp07g00012
OG0003480	g2115.t1	Sp07g00013
OG0003481	g2117.t1	Sp07g00014
OG0003482	g2118.t1	Sp07g00015
OG0003483	g2122.t1	Sp07g00019
OG0003484	g2123.t1	Sp07g00020
OG0003485	g2132.t1	Sp07g00029
OG0003486	g2136.t1	Sp07g00033
OG0003487	g2145.t1	Sp07g00041
OG0003488	g2155.t1	Sp07g00054
OG0003489	g2157.t1	Sp07g00056
OG0003491	g2166.t1	Sp07g00069
OG0003492	g2172.t1	Sp07g00075
OG0003493	g2173.t1	Sp07g00076
OG0003494	g2174.t1	Sp07g00077
OG0003495	g2175.t1	Sp07g00078
OG0003496	g2178.t1	Sp07g00081
OG0003497	g2179.t1	Sp07g00082
OG0003498	g2181.t1	Sp07g00083
OG0003499	g2184.t1	Sp07g00086
OG0003500	g2187.t1	Sp07g00090
OG0003501	g2189.t1	Sp07g00093
OG0003502	g2190.t1	Sp07g00095
OG0003503	g2191.t1	Sp07g00096
OG0003504	g2194.t1	Sp07g00100
OG0003505	g2204.t1	Sp07g00110
OG0003506	g2205.t1	Sp07g00111
OG0003507	g2209.t1	Sp07g00115
OG0003508	g2210.t1	Sp07g00116
OG0003509	g2215.t1	Sp07g00120
OG0003510	g2216.t1	Sp07g00121
OG0003511	g2217.t1	Sp03g00801
OG0003512	g2221.t1	Sp07g00126
OG0003513	g2227.t1	Sp07g00129
OG0003514	g2228.t1	Sp07g00130
OG0003515	g2234.t1	Sp07g00137
OG0003516	g2238.t1	Sp07g00140
OG0003517	g2240.t1	Sp07g00144
OG0003518	g2241.t1	Sp07g00145
OG0003519	g2244.t1	Sp07g00148
OG0003520	g2249.t1	Sp07g00153
OG0003521	g2250.t1	Sp07g00154
OG0003522	g2251.t1	Sp07g00155
OG0003523	g2263.t1	Sp07g00162
OG0003524	g2265.t1	Sp07g00215
OG0003525	g2267.t1	Sp07g00213
OG0003526	g2268.t1	Sp07g00212
OG0003527	g2272.t1	Sp07g00207
OG0003528	g2274.t1	Sp07g00204
OG0003529	g2275.t1	Sp07g00203
OG0003530	g2278.t1	Sp07g00200
OG0003531	g2279.t1	Sp07g00199
OG0003532	g2285.t1	Sp07g00195
OG0003533	g2286.t1	Sp07g00194
OG0003534	g2288.t1	Sp07g00192
OG0003535	g2290.t1	Sp07g00191
OG0003536	g2293.t1	Sp07g00187
OG0003537	g2295.t1	Sp07g00185
OG0003538	g2298.t1	Sp07g00183
OG0003539	g2301.t1	Sp07g00180
OG0003540	g2302.t1	Sp07g00179
OG0003541	g2306.t1, g2305.t1	Sp07g00175
OG0003542	g2312.t1	Sp07g00169
OG0003543	g2313.t1	Sp07g00168
OG0003544	g2315.t1	Sp07g00222
OG0003545	g2316.t1	Sp07g00223
OG0003546	g2318.t1	Sp07g00224
OG0003547	g2321.t1	Sp07g00227
OG0003548	g2322.t1	Sp07g00228
OG0003549	g2323.t1	Sp07g00229
OG0003550	g2325.t1	Sp07g00231
OG0003551	g2327.t1	Sp07g00233
OG0003552	g2330.t1	Sp07g00237
OG0003553	g2333.t1	Sp07g00240
OG0003554	g2340.t1	Sp07g00247
OG0003555	g2341.t1	Sp07g00248
OG0003556	g2348.t1	Sp07g00255
OG0003557	g2351.t1	Sp07g00258
OG0003558	g2358.t1	Sp07g00271
OG0003559	g2362.t1	Sp07g00275
OG0003560	g2363.t1	Sp07g00276
OG0003561	g2364.t1	Sp07g00277
OG0003562	g2365.t1	Sp07g00278
OG0003563	g2368.t1	Sp07g00279
OG0003564	g2369.t1	Sp07g00280
OG0003565	g2373.t1, g2375.t1	Sp07g00286
OG0003566	g2384.t1	Sp07g00293
OG0003567	g2391.t1	Sp07g00300
OG0003568	g2393.t1	Sp07g00303
OG0003569	g2395.t1	Sp07g00305
OG0003570	g2397.t1	Sp07g00307
OG0003571	g2398.t1	Sp07g00308
OG0003572	g2399.t1	Sp07g00309
OG0003573	g2401.t1	Sp07g00311
OG0003574	g2403.t1	Sp07g00314
OG0003575	g2410.t1	Sp07g00321
OG0003576	g2415.t1	Sp07g00325
OG0003577	g2422.t1	Sp07g00335
OG0003578	g2423.t1	Sp07g00336
OG0003579	g2427.t1	Sp07g00342
OG0003580	g2429.t1	Sp07g00344
OG0003581	g2432.t1	Sp07g00347
OG0003582	g2434.t1	Sp07g00349
OG0003583	g2436.t1	Sp07g00350
OG0003584	g2441.t1	Sp07g00355
OG0003585	g2442.t1	Sp07g00356
OG0003586	g2445.t1	Sp07g00359
OG0003587	g2446.t1	Sp07g00360
OG0003588	g2449.t1	Sp07g00364
OG0003589	g2453.t1	Sp07g00368
OG0003590	g2456.t1	Sp07g00370
OG0003591	g2467.t1	Sp07g00381
OG0003592	g2468.t1	Sp07g00382
OG0003593	g2479.t1	Sp07g00395
OG0003594	g2481.t1	Sp07g00397
OG0003595	g2483.t1	Sp07g00399
OG0003596	g2484.t1	Sp07g00400
OG0003597	g2486.t1	Sp07g00402
OG0003598	g2490.t1	Sp07g00406
OG0003599	g2491.t1	Sp07g00407
OG0003600	g2497.t1	Sp07g00413
OG0003601	g2498.t1	Sp07g00414
OG0003602	g2501.t1	Sp07g00416
OG0003603	g2502.t1	Sp07g00417
OG0003604	g2503.t1	Sp07g00418
OG0003605	g2507.t1	Sp07g00422
OG0003606	g2508.t1	Sp07g00423
OG0003607	g2512.t1	Sp07g00427
OG0003608	g2513.t1	Sp07g00428
OG0003609	g2515.t1	Sp07g00430
OG0003610	g2516.t1	Sp07g00431
OG0003611	g2520.t1	Sp07g00436
OG0003612	g2524.t1	Sp07g00439
OG0003613	g2528.t1	Sp07g00444
OG0003614	g2529.t1	Sp07g00445
OG0003615	g2530.t1	Sp07g00446
OG0003616	g2531.t1	Sp07g00447
OG0003617	g2539.t1	Sp07g00452
OG0003618	g2543.t1	Sp07g00455
OG0003619	g2548.t1	Sp07g00461
OG0003620	g2550.t1	Sp07g00463
OG0003621	g2555.t1	Sp07g00467
OG0003622	g2558.t1	Sp07g00470
OG0003623	g2566.t1	Sp07g00477
OG0003624	g2571.t1	Sp07g00482
OG0003625	g2572.t1	Sp07g00483
OG0003626	g2573.t1	Sp07g00485, Sp07g00484
OG0003627	g2581.t1	Sp07g00492
OG0003628	g2582.t1	Sp07g00493
OG0003629	g2585.t1	Sp07g00495
OG0003630	g2586.t1	Sp07g00496
OG0003631	g2605.t1	Sp07g00498
OG0003632	g2609.t1	Sp07g00500
OG0003633	g2610.t1	Sp07g00501
OG0003634	g2611.t1	Sp07g00502
OG0003635	g2616.t1	Sp07g00506
OG0003636	g2618.t1	Sp07g00508
OG0003637	g2619.t1	Sp07g00509
OG0003638	g2620.t1	Sp07g00510
OG0003639	g2629.t1	Sp07g00517
OG0003640	g2630.t1	Sp07g00519
OG0003641	g2631.t1	Sp07g00520
OG0003642	g2632.t1	Sp07g00521
OG0003643	g2633.t1	Sp07g00522
OG0003644	g2634.t1	Sp07g00524
OG0003645	g2635.t1	Sp07g00525
OG0003646	g2637.t1	Sp07g00527
OG0003647	g2638.t1	Sp07g00528
OG0003648	g2639.t1	Sp07g00529
OG0003649	g2640.t1	Sp07g00530
OG0003650	g2642.t1	Sp07g00532
OG0003651	g2643.t1	Sp07g00533
OG0003652	g2647.t1	Sp07g00537
OG0003653	g2648.t1	Sp07g00541
OG0003654	g2649.t1	Sp07g00542
OG0003655	g2650.t1	Sp07g00543
OG0003656	g2656.t1	Sp07g00550
OG0003657	g2657.t1	Sp07g00551
OG0003658	g2661.t1	Sp07g00555
OG0003659	g2666.t1	Sp07g00559
OG0003660	g2668.t1	Sp07g00561
OG0003661	g2669.t1	Sp07g00563
OG0003662	g2670.t1	Sp07g00564
OG0003663	g2675.t1	Sp07g00569
OG0003664	g2677.t1	Sp07g00571
OG0003665	g2678.t1	Sp07g00572
OG0003666	g2679.t1	Sp07g00573
OG0003667	g2685.t1	Sp07g00580
OG0003668	g2690.t1	Sp07g00585
OG0003669	g2691.t1	Sp07g00586
OG0003670	g2693.t1	Sp07g00588
OG0003671	g2699.t1	Sp07g00592
OG0003672	g2704.t1	Sp07g00595
OG0003673	g2706.t1	Sp07g00598
OG0003674	g2709.t1	Sp07g00602
OG0003675	g2710.t1	Sp07g00603
OG0003676	g2711.t1	Sp07g00604
OG0003677	g2712.t1	Sp07g00605
OG0003678	g11090.t1, g2713.t1	Sp07g00606
OG0003679	g2714.t1	Sp07g00607
OG0003680	g2715.t1	Sp07g00608
OG0003681	g2717.t1	Sp07g00610
OG0003682	g2718.t1	Sp07g00611
OG0003683	g2721.t1	Sp07g00615
OG0003684	g2722.t1	Sp07g00616
OG0003685	g2724.t1	Sp07g00618
OG0003686	g2726.t1	Sp07g00620
OG0003687	g2738.t1	Sp07g00632
OG0003688	g2744.t1	Sp07g00637
OG0003689	g2747.t1	Sp07g00657
OG0003690	g2751.t1	Sp07g00661
OG0003691	g2756.t1	Sp07g00668
OG0003692	g2757.t1	Sp07g00669
OG0003693	g2761.t1	Sp07g00672
OG0003694	g2762.t1	Sp07g00673
OG0003695	g2772.t1	Sp07g00682
OG0003696	g2773.t1	Sp07g00683
OG0003697	g2776.t1	Sp07g00687
OG0003699	g2783.t1	Sp07g00693
OG0003700	g2787.t1	Sp07g00697
OG0003701	g2799.t1	Sp07g00705
OG0003702	g2801.t1	Sp07g00707
OG0003703	g2803.t1	Sp07g00710
OG0003704	g2816.t1	Sp07g00724
OG0003705	g2817.t1	Sp07g00725
OG0003706	g2819.t1	Sp07g00726
OG0003707	g2820.t1	Sp07g00727
OG0003708	g2826.t1	Sp07g00733
OG0003709	g2828.t1	Sp07g00735
OG0003710	g2829.t1	Sp07g00736
OG0003711	g2831.t1	Sp07g00738
OG0003712	g2836.t1	Sp07g00744
OG0003713	g2840.t1	Sp07g00747
OG0003714	g2844.t1	Sp07g00752
OG0003715	g2845.t1, g9185.t1	Sp16g00308
OG0003717	g2850.t1	Sp07g00756
OG0003718	g2853.t1	Sp07g00759
OG0003719	g2855.t1	Sp07g00763
OG0003720	g2857.t1	Sp07g00765
OG0003721	g2866.t1	Sp07g00776
OG0003722	g2867.t1	Sp07g00777
OG0003723	g2870.t1	Sp07g00780
OG0003724	g2872.t1	Sp07g00782
OG0003725	g2875.t1	Sp07g00784
OG0003726	g2876.t1	Sp07g00785
OG0003727	g2879.t1	Sp07g00788
OG0003728	g2883.t1	Sp07g00793
OG0003729	g2886.t1	Sp07g00796
OG0003730	g2887.t1	Sp07g00797
OG0003731	g2890.t1	Sp07g00800
OG0003732	g2892.t1	Sp07g00802
OG0003733	g2895.t1	Sp07g00804
OG0003734	g2897.t1	Sp07g00807
OG0003735	g2899.t1	Sp07g00809
OG0003736	g2901.t1	Sp07g00811
OG0003737	g2902.t1	Sp07g00812
OG0003738	g2903.t1	Sp07g00813
OG0003739	g2927.t1	Sp07g00828
OG0003740	g2932.t1	Sp07g00839
OG0003741	g2933.t1	Sp07g00840
OG0003742	g2934.t1	Sp07g00841
OG0003743	g2936.t1	Sp07g00843
OG0003744	g2941.t1	Sp07g00847
OG0003745	g2942.t1	Sp07g00848
OG0003746	g2950.t1	Sp07g00855
OG0003747	g2951.t1	Sp07g00856
OG0003748	g2952.t1	Sp07g00857
OG0003749	g2954.t1	Sp07g00858
OG0003750	g2959.t1	Sp07g00864
OG0003751	g2960.t1	Sp07g00865
OG0003752	g2961.t1	Sp07g00866
OG0003753	g2963.t1	Sp07g00868
OG0003754	g2966.t1	Sp07g00871
OG0003755	g2968.t1	Sp07g00873
OG0003756	g2972.t1	Sp07g00885
OG0003757	g2974.t1	Sp07g00886
OG0003758	g2975.t1	Sp07g00888
OG0003759	g2977.t1	Sp07g00890
OG0003760	g2979.t1	Sp07g00893
OG0003761	g2984.t1	Sp07g00899
OG0003762	g2991.t1	Sp07g00906
OG0003763	g2994.t1	Sp07g00909
OG0003764	g3003.t1	Sp07g00917
OG0003765	g3004.t1	Sp07g00918
