Orthogroup	Sp7498_pacbio.protein	wa8730.asm201904v2.ann1.proteins
OG0000743	g16953.t1	Wa8730a003g002090_P001
OG0000743	g19330.t1	Wa8730a004g008060_P001
OG0000744	g17247.t1	Wa8730a003g000350_P001
OG0000745	g17263.t1	Wa8730a003g000340_P001, Wa8730a003g000170_P001, Wa8730a003g000160_P001
OG0000746	g17348.t1	Wa8730a002g005270_P001, Wa8730a002g005240_P001, Wa8730a002g005260_P001
OG0000747	g17508.t1, g17374.t1	Wa8730a002g010060_P001, Wa8730a002g008980_P001
OG0000748	g17583.t1	Wa8730a002g008360_P001
OG0000748	g18030.t1	Wa8730a002g004740_P001
OG0000749	g17840.t1	Wa8730a002g006050_P002, Wa8730a002g006050_P003, Wa8730a002g006050_P001
OG0000750	g17994.t1	Wa8730a002g005550_P001, Wa8730a002g005280_P001, Wa8730a002g005350_P001
OG0000751	g18094.t1	Wa8730a002g004300_P001
OG0000751	g18096.t1	Wa8730a002g004290_P001
OG0000752	g18527.t1	Wa8730a002g000880_P003, Wa8730a002g000880_P002, Wa8730a002g000880_P001
OG0000753	g18655.t1	Wa8730a020g000340_P001, Wa8730a013g001610_P001, Wa8730a004g001120_P001, Wa8730a002g000250_P001, Wa8730a017g004660_P001
OG0000754	g18978.t1, g18981.t1, g18982.t1	Wa8730a001g009140_P001, Wa8730a001g009010_P001
OG0000755	g19150.t1, g19149.t1	Wa8730a001g010070_P002, Wa8730a001g010070_P001
OG0000763	g12771.t1	Wa8730a008g005020_P001
OG0000764	g175.t1	Wa8730a004g004230_P001
OG0000765	g325.t1	Wa8730a004g003280_P001
OG0000766	g459.t1	Wa8730a004g002120_P001
OG0000767	g8893.t1, g466.t1	Wa8730a004g001810_P001
OG0000768	g15194.t1	Wa8730a011g005880_P001
OG0000769	g504.t1, g505.t1	Wa8730a004g001530_P001, Wa8730a004g001530_P002
OG0000770	g6718.t1	Wa8730a004g000640_P001
OG0000771	g539.t1	Wa8730a004g000860_P001
OG0000772	g711.t1	Wa8730a017g004450_P001, Wa8730a017g004460_P001
OG0000773	g729.t1	Wa8730a017g004580_P001
OG0000774	g2419.t1, g836.t1	Wa8730a008g002590_P001
OG0000775	g971.t1	Wa8730a005g000740_P001
OG0000776	g1010.t1	Wa8730a005g000630_P001, Wa8730a005g000610_P001
OG0000777	g19336.t1	Wa8730a004g008050_P001
OG0000779	g1315.t1, g4719.t1	Wa8730a010g001540_P001
OG0000780	g1460.t1	Wa8730a005g004420_P001, Wa8730a005g004420_P003, Wa8730a005g004420_P002
OG0000781	g6774.t1	Wa8730a010g001940_P001
OG0000781	g1529.t1	Wa8730a005g004750_P001
OG0000782	g1540.t1, g8928.t1	Wa8730a005g004890_P001
OG0000783	g8932.t1	Wa8730a004g006850_P001
OG0000784	g1599.t1	Wa8730a005g005510_P001, Wa8730a005g005530_P001
OG0000785	g1687.t1	Wa8730a005g006180_P001
OG0000785	g6708.t1	Wa8730a010g002670_P001
OG0000786	g1703.t1	Wa8730a005g006260_P001
OG0000787	g8986.t1, g1775.t1	Wa8730a004g006150_P002, Wa8730a004g006150_P001
OG0000788	g1797.t1, g1798.t1	Wa8730a005g007120_P001, Wa8730a005g007120_P002
OG0000789	g14787.t1, g1800.t1	Wa8730a016g002600_P001
OG0000791	g8073.t1	Wa8730a019g000540_P001
OG0000791	g1842.t1	Wa8730a001g011620_P001
OG0000792	g1855.t1, g1854.t1	Wa8730a011g002730_P001, Wa8730a011g002740_P001
OG0000793	g5309.t1	Wa8730a020g000010_P001
OG0000793	g1873.t1	Wa8730a001g011510_P001
OG0000794	g8056.t1	Wa8730a019g000600_P001
OG0000795	g2040.t1, g2039.t1	Wa8730a005g008240_P001, Wa8730a005g008230_P001
OG0000796	g4628.t1, g2111.t1, g16520.t1	Wa8730a009g005400_P001
OG0000797	g10277.t1, g2165.t1, g10276.t1	Wa8730a014g002150_P001
OG0000798	g2171.t1	Wa8730a003g008350_P001
OG0000799	g2188.t1	Wa8730a018g002670_P001, Wa8730a018g002610_P001, Wa8730a008g000060_P001
OG0000800	g2197.t1	Wa8730a008g000010_P001
OG0000800	g9960.t1	Wa8730a014g002980_P001
OG0000801	g2239.t1	Wa8730a003g004480_P001, Wa8730a008g001390_P001
OG0000802	g2261.t1	Wa8730a008g001420_P001, Wa8730a008g001440_P001, Wa8730a008g001430_P001
OG0000803	g10966.t1	Wa8730a007g002950_P001
OG0000804	g16938.t1	Wa8730a003g002070_P001
OG0000804	g2314.t1	Wa8730a008g001650_P001
OG0000805	g2339.t1, g10029.t1	Wa8730a008g002070_P001, Wa8730a008g002080_P001
OG0000806	g2361.t1	Wa8730a008g002220_P001
OG0000807	g2535.t1	Wa8730a012g000540_P001, Wa8730a012g000560_P002, Wa8730a012g000560_P003
OG0000808	g2545.t1, g5187.t1	Wa8730a020g000140_P001
OG0000809	g2547.t1	Wa8730a012g000480_P001
OG0000810	g5221.t1	Wa8730a020g000400_P001
OG0000810	g2590.t1	Wa8730a012g000960_P001
OG0000811	g2683.t1	Wa8730a012g001910_P001, Wa8730a012g001890_P001
OG0000812	g2733.t1, g2730.t1, g5129.t1	Wa8730a020g001650_P001
OG0000813	g2731.t1, g18652.t1	Wa8730a001g010280_P001
OG0000814	g2824.t1	Wa8730a012g002980_P001
OG0000814	g10798.t1	Wa8730a007g002050_P001
OG0000815	g13553.t1, g2849.t1	Wa8730a006g001910_P001
OG0000816	g3025.t1	Wa8730a012g004450_P001
OG0000816	g14715.t1	Wa8730a016g002100_P001
OG0000817	g3074.t1	Wa8730a012g004580_P001, Wa8730a012g004580_P002
OG0000818	g11855.t1, g3076.t1	Wa8730a013g000850_P001
OG0000819	g3095.t1	Wa8730a012g004840_P001
OG0000819	g14597.t1	Wa8730a016g001210_P001
OG0000820	g3145.t1	Wa8730a012g005160_P001
OG0000821	g3149.t1	Wa8730a012g005180_P001
OG0000821	g14507.t1	Wa8730a016g000260_P001
OG0000822	g9117.t1, g3153.t1, g15733.t1	Wa8730a011g002220_P001
OG0000823	g13634.t1, g12688.t1, g3205.t1, g3203.t1	Wa8730a006g001080_P001
OG0000824	g3208.t1, g13629.t1	Wa8730a006g001170_P001, Wa8730a011g000810_P001
OG0000825	g3214.t1, g13623.t1, g16249.t1	Wa8730a006g001150_P001
OG0000826	g3230.t1	Wa8730a006g001330_P001
OG0000826	g3231.t1	Wa8730a006g001340_P001
OG0000827	g3241.t1	Wa8730a006g001600_P001
OG0000828	g3258.t1	Wa8730a006g001460_P001, Wa8730a006g001470_P001
OG0000829	g3361.t1, g7972.t1	Wa8730a001g006700_P001
OG0000830	g3480.t1	Wa8730a001g010920_P001, Wa8730a006g002420_P001, Wa8730a001g010960_P001
OG0000831	g3513.t1	Wa8730a001g011910_P001
OG0000831	g8096.t1	Wa8730a019g000400_P001
OG0000832	g3693.t1, g3692.t1, g3694.t1	Wa8730a001g005880_P001
OG0000833	g8363.t1	Wa8730a018g002540_P001
OG0000834	g3866.t1	Wa8730a001g004730_P001
OG0000835	g3966.t1	Wa8730a001g004020_P001, Wa8730a001g004000_P001, Wa8730a001g003990_P001
OG0000836	g8367.t1, g4045.t1	Wa8730a018g002510_P001
OG0000837	g4104.t1, g5589.t1	Wa8730a001g003010_P001
OG0000838	g8323.t1	Wa8730a018g002840_P001
OG0000838	g4232.t1	Wa8730a001g001900_P001
OG0000840	g4593.t1	Wa8730a009g004920_P001
OG0000841	g4612.t1, g10269.t1	Wa8730a014g002260_P001
OG0000842	g8958.t1, g4733.t1	Wa8730a009g006020_P001
OG0000843	g4734.t1, g4735.t1, g4736.t1	Wa8730a009g006030_P001
OG0000844	g10087.t1	Wa8730a014g001020_P001
OG0000844	g4763.t1	Wa8730a009g006400_P001
OG0000845	g5123.t1, g4907.t1, g4909.t1	Wa8730a020g003160_P001
OG0000846	g4917.t1	Wa8730a005g004550_P001
OG0000847	g13538.t1, g4943.t1	Wa8730a006g002040_P001, Wa8730a020g002990_P001
OG0000848	g4974.t1	Wa8730a020g002870_P001, Wa8730a020g002860_P001, Wa8730a020g002840_P001
OG0000849	g4985.t1, g4983.t1	Wa8730a020g002750_P001
OG0000850	g15929.t1	Wa8730a011g000390_P001
OG0000850	g5027.t1	Wa8730a020g002420_P001
OG0000851	g5084.t1	Wa8730a020g001890_P001, Wa8730a020g001920_P001
OG0000852	g11126.t1	Wa8730a007g004320_P001
OG0000852	g5097.t1	Wa8730a020g001730_P001
OG0000853	g5110.t1, g5108.t1	Wa8730a020g001870_P001
OG0000854	g13359.t1, g5113.t1, g5112.t1	Wa8730a006g003750_P001
OG0000855	g5147.t1, g18627.t1	Wa8730a020g001510_P001
OG0000856	g5172.t1	Wa8730a020g001100_P001
OG0000857	g5732.t1, g13193.t1, g5178.t1	Wa8730a001g005900_P001
OG0000858	g13220.t1	Wa8730a007g000620_P001
OG0000858	g5192.t1	Wa8730a020g000190_P001
OG0000859	g11638.t1	Wa8730a007g007880_P001
OG0000859	g5261.t1	Wa8730a012g000310_P001
OG0000860	g11701.t1, g5278.t1	Wa8730a007g008330_P001
OG0000861	g5299.t1	Wa8730a020g001020_P001
OG0000861	g13137.t1	Wa8730a007g000160_P001
OG0000862	g8229.t1	Wa8730a018g003850_P001
OG0000862	g5380.t1	Wa8730a009g004170_P001
OG0000863	g9036.t1, g5542.t1	Wa8730a009g002050_P001
OG0000864	g5545.t1	Wa8730a009g002090_P001
OG0000864	g10467.t1	Wa8730a006g006260_P001
OG0000865	g8414.t1	Wa8730a020g001490_P001
OG0000865	g5800.t1	Wa8730a009g000630_P001
OG0000866	g5807.t1	Wa8730a001g010910_P001, Wa8730a019g000750_P001
OG0000867	g11817.t1, g5923.t1	Wa8730a013g000610_P001
OG0000868	g5991.t1, g18583.t1	Wa8730a020g002210_P001
OG0000869	g6042.t1, g6037.t1	Wa8730a017g001140_P001
OG0000870	g6056.t1, g9751.t1, g9752.t1	Wa8730a014g004410_P001
OG0000871	g6096.t1, g18415.t1	Wa8730a002g002000_P001
OG0000872	g6152.t1	Wa8730a017g002040_P001, Wa8730a017g002030_P001, Wa8730a017g002020_P001
OG0000873	g6185.t1, g6186.t1	Wa8730a017g002300_P001
OG0000874	g6221.t1	Wa8730a013g003440_P001, Wa8730a002g005190_P001
OG0000875	g6253.t1, g12805.t1	Wa8730a006g000520_P001, Wa8730a006g000450_P001
OG0000876	g6255.t1	Wa8730a017g002860_P001, Wa8730a003g000670_P002, Wa8730a003g000670_P001
OG0000877	g6269.t1	Wa8730a017g003010_P001
OG0000878	g6277.t1	Wa8730a017g003120_P001
OG0000878	g9493.t1	Wa8730a014g006190_P001
OG0000879	g6289.t1	Wa8730a017g003190_P001
OG0000880	g6297.t1	Wa8730a017g003240_P001, Wa8730a002g006620_P001
OG0000881	g17608.t1	Wa8730a002g008540_P001
OG0000881	g6331.t1	Wa8730a017g003480_P001
OG0000882	g17381.t1, g6378.t1	Wa8730a002g008940_P001
OG0000883	g6449.t1	Wa8730a002g000080_P001, Wa8730a019g003870_P001
OG0000884	g6471.t1	Wa8730a005g004250_P003, Wa8730a005g004250_P001, Wa8730a005g004250_P002
OG0000885	g6524.t1	Wa8730a006g000840_P001, Wa8730a006g000850_P001
OG0000886	g6619.t1, g6622.t1	Wa8730a010g003270_P001
OG0000887	g6653.t1	Wa8730a010g003020_P001
OG0000888	g6669.t1	Wa8730a010g002900_P001
OG0000889	g8973.t1	Wa8730a004g006710_P001
OG0000889	g6714.t1	Wa8730a010g002470_P001
OG0000890	g6742.t1	Wa8730a010g002140_P001, Wa8730a010g002150_P001, Wa8730a010g002130_P001
OG0000891	g6743.t1	Wa8730a010g002110_P001
OG0000892	g14649.t1, g7101.t1, g16381.t1	Wa8730a003g006280_P001
OG0000893	g7144.t1	Wa8730a010g004070_P001
OG0000894	g7162.t1	Wa8730a010g004200_P001, Wa8730a010g004190_P001, Wa8730a010g004180_P001
OG0000895	g7306.t1	Wa8730a010g005200_P002, Wa8730a010g005200_P001, Wa8730a010g005210_P002, Wa8730a010g005210_P001
OG0000896	g13992.t1	Wa8730a015g002800_P001
OG0000896	g7322.t1	Wa8730a010g005370_P001
OG0000897	g7352.t1	Wa8730a010g005570_P001, Wa8730a010g005540_P001
OG0000898	g18749.t1	Wa8730a001g007300_P001
OG0000899	g7489.t1	Wa8730a010g006150_P001
OG0000900	g7500.t1	Wa8730a010g006240_P001
OG0000901	g7620.t1	Wa8730a019g003370_P001
OG0000902	g7644.t1	Wa8730a019g003620_P001, Wa8730a019g003630_P001
OG0000903	g7667.t1	Wa8730a019g003150_P001
OG0000904	g8102.t1	Wa8730a019g000330_P001
OG0000905	g8642.t1	Wa8730a018g000920_P001, Wa8730a018g000930_P001
OG0000906	g8805.t1, g10608.t1	Wa8730a006g004920_P001, Wa8730a006g004890_P001
OG0000908	g8835.t1, g8839.t1	Wa8730a004g007810_P001
OG0000909	g8956.t1	Wa8730a004g007200_P001, Wa8730a004g007170_P001
OG0000910	g9004.t1	Wa8730a004g006440_P001, Wa8730a004g006430_P001, Wa8730a004g006420_P001
OG0000911	g9041.t1	Wa8730a004g007260_P001, Wa8730a001g002240_P001, Wa8730a004g007260_P002
OG0000912	g9055.t1	Wa8730a010g003090_P001, Wa8730a010g003090_P002
OG0000913	g9065.t1	Wa8730a004g006300_P001, Wa8730a004g006320_P001, Wa8730a004g006340_P001
OG0000914	g12748.t1	Wa8730a008g004460_P001
OG0000915	g9265.t1	Wa8730a006g000380_P001
OG0000916	g9348.t1	Wa8730a014g007240_P001
OG0000916	g12413.t1	Wa8730a013g005220_P001
OG0000917	g9443.t1, g9442.t1	Wa8730a014g006470_P001
OG0000918	g9537.t1	Wa8730a014g004900_P001
OG0000918	g11609.t1	Wa8730a007g008750_P001
OG0000919	g18205.t1	Wa8730a002g003510_P001
OG0000919	g9630.t1	Wa8730a014g005170_P001
OG0000920	g9649.t1, g18231.t1	Wa8730a005g003170_P001
OG0000921	g9801.t1	Wa8730a014g004050_P002, Wa8730a014g004050_P001
OG0000922	g11889.t1	Wa8730a013g001090_P001
OG0000923	g15878.t1	Wa8730a011g001060_P001
OG0000923	g9884.t1	Wa8730a014g003440_P001
OG0000924	g9932.t1	Wa8730a014g003110_P001
OG0000925	g9962.t1, g16036.t1	Wa8730a003g008840_P001
OG0000926	g16824.t1, g10111.t1	Wa8730a003g002970_P001
OG0000927	g16690.t1, g10129.t1	Wa8730a003g003960_P001, Wa8730a003g003970_P001
OG0000928	g10275.t1	Wa8730a014g002190_P001
OG0000929	g16111.t1, g11879.t1, g10283.t1	Wa8730a014g002410_P001
OG0000930	g10318.t1, g10317.t1	Wa8730a006g007320_P001
OG0000931	g10333.t1	Wa8730a012g003540_P001, Wa8730a012g003550_P001
OG0000932	g10399.t1	Wa8730a012g003970_P001, Wa8730a012g003980_P001
OG0000933	g14839.t1	Wa8730a016g002960_P001
OG0000933	g10418.t1	Wa8730a006g006630_P001
OG0000934	g10492.t1	Wa8730a006g005860_P001, Wa8730a006g005860_P002, Wa8730a006g005860_P003
OG0000935	g10535.t1	Wa8730a019g001930_P001
OG0000936	g10598.t1	Wa8730a006g004800_P001
OG0000937	g10661.t1	Wa8730a006g005460_P001
OG0000938	g10962.t1	Wa8730a007g002920_P001
OG0000939	g10999.t1	Wa8730a012g002110_P001, Wa8730a012g002110_P002
OG0000940	g11065.t1	Wa8730a007g003960_P001
OG0000940	g11064.t1	Wa8730a007g003950_P001
OG0000941	g11205.t1, g11204.t1	Wa8730a007g004830_P001, Wa8730a007g004800_P001
OG0000942	g11292.t1	Wa8730a006g004260_P001, Wa8730a007g005440_P001
OG0000943	g13292.t1, g11298.t1	Wa8730a007g005530_P001
OG0000944	g13290.t1	Wa8730a007g005520_P001
OG0000945	g11346.t1, g13267.t1	Wa8730a006g004430_P001
OG0000946	g11424.t1	Wa8730a007g006670_P001, Wa8730a007g006660_P001, Wa8730a007g006520_P001
OG0000947	g11557.t1	Wa8730a007g007610_P001, Wa8730a007g007600_P001
OG0000948	g11736.t1	Wa8730a007g008800_P001
OG0000949	g15795.t1	Wa8730a011g001880_P001
OG0000950	g11978.t1	Wa8730a013g002220_P001
OG0000950	g11979.t1	Wa8730a013g002210_P001
OG0000951	g18440.t1	Wa8730a002g001360_P001
OG0000952	g12192.t1	Wa8730a013g003120_P001, Wa8730a013g003110_P001
OG0000953	g12316.t1	Wa8730a013g004350_P001, Wa8730a013g004380_P001
OG0000954	g14643.t1, g12372.t1	Wa8730a007g008020_P001
OG0000955	g13433.t1	Wa8730a006g002880_P001
OG0000956	g12510.t1	Wa8730a013g005970_P001
OG0000957	g12668.t1, g12692.t1	Wa8730a008g005780_P001, Wa8730a008g005650_P001
OG0000958	g12738.t1	Wa8730a008g004630_P001
OG0000958	g12739.t1	Wa8730a008g004620_P001
OG0000959	g12756.t1	Wa8730a008g004440_P001, Wa8730a008g004520_P001
OG0000960	g15561.t1, g12773.t1	Wa8730a011g003460_P001
OG0000961	g12862.t1, g15127.t1	Wa8730a016g004850_P001
OG0000962	g12925.t1	Wa8730a008g004380_P002, Wa8730a008g004380_P001
OG0000963	g15657.t1	Wa8730a011g002750_P001
OG0000963	g12927.t1	Wa8730a008g004050_P001
OG0000964	g12960.t1	Wa8730a008g003980_P002, Wa8730a008g003980_P001, Wa8730a008g003970_P001
OG0000965	g13005.t1, g12998.t1, g12997.t1, g18191.t1	Wa8730a008g003430_P001
OG0000966	g13085.t1, g15565.t1	Wa8730a008g002670_P002, Wa8730a008g002670_P001
OG0000967	g13190.t1, g13191.t1	Wa8730a007g000650_P001
OG0000968	g13345.t1	Wa8730a006g003980_P001
OG0000969	g13447.t1	Wa8730a006g002650_P003, Wa8730a006g002650_P001, Wa8730a006g002650_P002
OG0000970	g13467.t1	Wa8730a006g002490_P001
OG0000971	g13501.t1	Wa8730a006g002270_P001, Wa8730a005g003950_P002, Wa8730a005g003950_P001
OG0000972	g13607.t1, g13606.t1	Wa8730a006g001060_P001
OG0000973	g15476.t1	Wa8730a015g004920_P001
OG0000974	g19060.t1, g13739.t1	Wa8730a015g004420_P001
OG0000975	g13774.t1	Wa8730a015g004310_P001
OG0000975	g15419.t1	Wa8730a011g004400_P001
OG0000976	g13856.t1	Wa8730a015g003370_P002, Wa8730a015g003370_P001
OG0000977	g18878.t1, g18919.t1	Wa8730a001g008580_P001
OG0000977	g13957.t1	Wa8730a015g002690_P001
OG0000978	g14131.t1	Wa8730a015g001200_P001
OG0000978	g15261.t1	Wa8730a011g005490_P001
OG0000979	g14169.t1, g14164.t1, g14163.t1	Wa8730a015g001440_P001
OG0000980	g14205.t1	Wa8730a010g005700_P001, Wa8730a015g001040_P002, Wa8730a015g001040_P001
OG0000981	g14225.t1	Wa8730a015g001070_P002, Wa8730a015g001070_P001, Wa8730a015g001070_P003
OG0000982	g14336.t1	Wa8730a015g000070_P001, Wa8730a015g000400_P001, Wa8730a015g000050_P002, Wa8730a015g000050_P001
OG0000983	g15477.t1	Wa8730a011g003900_P001
OG0000983	g14349.t1	Wa8730a015g005330_P001
OG0000984	g15548.t1, g14427.t1, g19181.t1	Wa8730a001g010260_P001
OG0000985	g14437.t1	Wa8730a015g005940_P001, Wa8730a015g005950_P001
OG0000986	g14536.t1	Wa8730a004g000010_P001, Wa8730a016g000760_P001, Wa8730a016g000770_P001
OG0000987	g14684.t1	Wa8730a016g001870_P001, Wa8730a016g001870_P002, Wa8730a006g006110_P001
OG0000988	g14774.t1, g16442.t1	Wa8730a003g005790_P001
OG0000989	g14913.t1, g14915.t1	Wa8730a016g002680_P001
OG0000990	g14920.t1, g14919.t1	Wa8730a016g003580_P001, Wa8730a016g003600_P001
OG0000991	g14948.t1, g14951.t1	Wa8730a016g003740_P001
OG0000992	g15027.t1	Wa8730a016g004310_P001, Wa8730a016g004310_P002
OG0000993	g15065.t1	Wa8730a016g004500_P001
OG0000994	g15072.t1	Wa8730a016g004600_P001
OG0000994	g15071.t1	Wa8730a016g004610_P001
OG0000995	g15356.t1, g18875.t1, g18916.t1	Wa8730a016g000960_P001
OG0000996	g15407.t1	Wa8730a011g004480_P002, Wa8730a011g004480_P001
OG0000997	g15459.t1	Wa8730a001g009770_P001
OG0000998	g15540.t1	Wa8730a012g001270_P001, Wa8730a011g003530_P001
OG0000999	g15765.t1	Wa8730a011g001800_P001
OG0001000	g15789.t1, g15790.t1, g15792.t1	Wa8730a011g001870_P001
OG0001001	g15866.t1	Wa8730a020g001350_P001, Wa8730a020g001340_P001
OG0001002	g15945.t1	Wa8730a011g000480_P001
OG0001002	g15944.t1	Wa8730a011g000490_P001
OG0001003	g16070.t1, g16072.t1	Wa8730a003g008420_P001
OG0001004	g16198.t1	Wa8730a003g007070_P001
OG0001005	g16402.t1	Wa8730a011g001290_P001
OG0001006	g16418.t1	Wa8730a003g005860_P001
OG0001007	g16507.t1, g16502.t1, g16505.t1	Wa8730a003g005330_P001
OG0001008	g16692.t1	Wa8730a003g003910_P001, Wa8730a003g003160_P001, Wa8730a003g003950_P001
OG0001009	g16751.t1	Wa8730a003g003700_P001
OG0001010	g16822.t1	Wa8730a003g003000_P001
OG0001010	g16823.t1	Wa8730a003g002990_P001
OG0001011	g17020.t1	Wa8730a003g001690_P001, Wa8730a004g000030_P001, Wa8730a016g000700_P001
OG0001012	g17026.t1, g17027.t1, g17028.t1	Wa8730a003g004690_P001
OG0001013	g17153.t1, g17257.t1	Wa8730a003g000230_P001
OG0001014	g17154.t1, g17258.t1	Wa8730a004g003210_P001
OG0001015	g17203.t1	Wa8730a003g000610_P001
OG0001016	g17204.t1	Wa8730a003g000620_P002, Wa8730a003g000620_P001
OG0001017	g17217.t1	Wa8730a003g000560_P002
OG0001018	g17246.t1	Wa8730a010g001310_P001, Wa8730a010g001300_P001, Wa8730a003g000360_P001
OG0001019	g17689.t1	Wa8730a002g007640_P001
OG0001020	g17907.t1	Wa8730a002g005830_P001, Wa8730a002g005820_P001, Wa8730a002g005800_P001
OG0001021	g17993.t1	Wa8730a014g005890_P001, Wa8730a014g005880_P001
OG0001022	g18084.t1	Wa8730a002g003920_P001, Wa8730a002g004380_P001, Wa8730a002g004370_P001
OG0001023	g18220.t1	Wa8730a002g003320_P001
OG0001024	g18229.t1	Wa8730a002g003370_P002, Wa8730a002g003370_P001
OG0001025	g18297.t1	Wa8730a002g002780_P001, Wa8730a001g002170_P001
OG0001026	g18357.t1, g18353.t1	Wa8730a002g002400_P001
OG0001029	g18598.t1	Wa8730a002g000750_P001
OG0001030	g18640.t1	Wa8730a002g000400_P001, Wa8730a002g000370_P001
OG0001031	g18719.t1	Wa8730a001g007710_P001, Wa8730a001g007690_P001
OG0001032	g18833.t1, g18835.t1	Wa8730a001g008110_P001
OG0001033	g18922.t1, g18881.t1	Wa8730a001g008640_P001
OG0001034	g19013.t1, g19012.t1	Wa8730a001g009230_P001, Wa8730a012g001240_P001
OG0001035	g19040.t1	Wa8730a001g009450_P001
OG0001035	g19039.t1	Wa8730a001g009440_P001
OG0001036	g19089.t1	Wa8730a001g009750_P001, Wa8730a001g009740_P001
OG0001037	g19173.t1, g19172.t1	Wa8730a001g010200_P001
OG0001049	g9.t1, g17628.t1	Wa8730a004g004390_P001
OG0001050	g12865.t1, g19.t1	Wa8730a008g004320_P001
OG0001051	g20.t1	Wa8730a004g004320_P001, Wa8730a004g004330_P001
OG0001052	g36.t1, g12799.t1	Wa8730a004g004690_P001
OG0001053	g6467.t1, g97.t1	Wa8730a004g005090_P001
OG0001054	g122.t1, g118.t1	Wa8730a008g004230_P001
OG0001055	g3369.t1, g127.t1	Wa8730a001g006850_P001
OG0001056	g145.t1, g150.t1	Wa8730a004g004420_P001
OG0001057	g157.t1	Wa8730a004g004540_P001, Wa8730a006g001120_P001
OG0001058	g13817.t1, g168.t1	Wa8730a004g004560_P001
OG0001059	g169.t1	Wa8730a004g004500_P001
OG0001060	g15600.t1, g180.t1	Wa8730a004g004210_P001
OG0001061	g196.t1	Wa8730a008g003600_P001
OG0001062	g226.t1, g13248.t1	Wa8730a007g001250_P001
OG0001063	g234.t1, g4937.t1	Wa8730a020g002970_P001
OG0001064	g236.t1, g237.t1	Wa8730a004g003870_P001
OG0001065	g240.t1	Wa8730a004g003860_P001, Wa8730a004g003860_P002
OG0001066	g13579.t1	Wa8730a006g001690_P001
OG0001067	g253.t1	Wa8730a004g003710_P001, Wa8730a004g003760_P001
OG0001068	g261.t1, g13107.t1	Wa8730a004g003690_P001
OG0001069	g268.t1, g270.t1	Wa8730a004g003570_P001
OG0001070	g287.t1, g895.t1	Wa8730a004g003510_P001
OG0001071	g290.t1, g291.t1	Wa8730a004g003490_P001
OG0001072	g296.t1, g19240.t1	Wa8730a004g008760_P001
OG0001073	g309.t1, g928.t1	Wa8730a005g000420_P001
OG0001074	g310.t1, g932.t1	Wa8730a005g000490_P001
OG0001075	g934.t1, g314.t1	Wa8730a004g003320_P001
OG0001076	g333.t1, g1063.t1	Wa8730a005g001450_P001
OG0001077	g346.t1	Wa8730a004g002960_P002, Wa8730a004g002960_P003, Wa8730a004g002960_P001
OG0001078	g353.t1, g352.t1	Wa8730a004g002950_P001
OG0001079	g1134.t1, g372.t1	Wa8730a005g002090_P001
OG0001080	g382.t1	Wa8730a004g002720_P001
OG0001081	g1207.t1, g392.t1	Wa8730a004g002000_P001
OG0001082	g445.t1, g6845.t1	Wa8730a004g001980_P001
OG0001083	g456.t1, g457.t1	Wa8730a004g002090_P001
OG0001084	g8926.t1, g502.t1	Wa8730a004g006900_P001
OG0001085	g540.t1	Wa8730a004g000850_P001
OG0001086	g1697.t1, g546.t1	Wa8730a005g006330_P001
OG0001087	g582.t1	Wa8730a004g001160_P001, Wa8730a004g001170_P001
OG0001088	g585.t1, g1790.t1	Wa8730a005g007030_P001
OG0001089	g627.t1	Wa8730a017g003850_P001, Wa8730a011g000470_P001
OG0001091	g644.t1	Wa8730a017g003960_P001
OG0001092	g674.t1	Wa8730a017g004190_P001
OG0001093	g688.t1	Wa8730a017g004100_P002, Wa8730a017g004100_P001
OG0001094	g689.t1, g6550.t1	Wa8730a017g004090_P001
OG0001095	g709.t1, g6562.t1	Wa8730a017g004420_P001
OG0001096	g18697.t1, g745.t1	Wa8730a017g004710_P001
OG0001097	g748.t1, g18698.t1	Wa8730a017g004690_P001
OG0001098	g19197.t1, g782.t1	Wa8730a001g010330_P001
OG0001099	g791.t1, g19357.t1, g9942.t1	Wa8730a014g003200_P001
OG0001101	g17288.t1, g811.t1	Wa8730a014g000010_P001
OG0001102	g17273.t1, g824.t1	Wa8730a003g000120_P001
OG0001103	g842.t1, g843.t1, g845.t1	Wa8730a014g000210_P001
OG0001104	g6437.t1, g855.t1	Wa8730a019g000080_P001
OG0001105	g864.t1	Wa8730a005g000050_P001, Wa8730a005g000050_P002
OG0001106	g899.t1, g2570.t1	Wa8730a005g000310_P001
OG0001107	g913.t1	Wa8730a006g007420_P001, Wa8730a005g000240_P001
OG0001108	g939.t1, g938.t1	Wa8730a005g000530_P001
OG0001109	g944.t1, g7047.t1	Wa8730a005g000570_P001
OG0001110	g957.t1, g14798.t1	Wa8730a016g002660_P001
OG0001111	g6994.t1, g968.t1	Wa8730a010g000390_P001
OG0001112	g7002.t1, g998.t1	Wa8730a010g000460_P001
OG0001113	g1028.t1	Wa8730a005g001160_P001
OG0001114	g6988.t1, g1043.t1	Wa8730a010g000490_P001
OG0001115	g1095.t1, g1229.t1	Wa8730a005g002510_P001
OG0001116	g1097.t1, g19327.t1	Wa8730a004g008110_P001
OG0001118	g1132.t1, g10260.t1	Wa8730a005g002100_P001
OG0001119	g1173.t1	Wa8730a005g002390_P002, Wa8730a005g002390_P001
OG0001120	g6902.t1, g1188.t1	Wa8730a005g002410_P001
