#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
AT1G61180.1          -          NB-ARC               PF00931.23   1.4e-90  304.3   0.6   2.5e-90  303.5   0.6   1.4   1   0   0   1   1   1   1 | AT1G61180
AT5G40910.3          -          NB-ARC               PF00931.23   1.2e-22   81.7   0.1   1.9e-22   81.1   0.1   1.2   1   0   0   1   1   1   1 | AT5G40910
AT5G40910.5          -          NB-ARC               PF00931.23   1.2e-22   81.7   0.1   1.9e-22   81.1   0.1   1.2   1   0   0   1   1   1   1 | AT5G40910
AT5G40910.7          -          NB-ARC               PF00931.23   1.2e-22   81.7   0.1   1.9e-22   81.1   0.1   1.2   1   0   0   1   1   1   1 | AT5G40910
AT5G40910.8          -          NB-ARC               PF00931.23   1.2e-22   81.7   0.1   1.9e-22   81.1   0.1   1.2   1   0   0   1   1   1   1 | AT5G40910
AT3G04220.2          -          NB-ARC               PF00931.23   1.3e-22   81.7   0.0   2.2e-22   80.9   0.0   1.4   1   0   0   1   1   1   1 | AT3G04220
AT5G58120.1          -          NB-ARC               PF00931.23   1.3e-22   81.7   0.0   3.2e-22   80.3   0.0   1.7   2   0   0   2   2   1   1 | AT5G58120
AT4G11170.1          -          NB-ARC               PF00931.23   1.5e-22   81.4   0.0   2.8e-22   80.5   0.0   1.4   1   0   0   1   1   1   1 | AT4G11170
AT5G40910.1          -          NB-ARC               PF00931.23   1.6e-22   81.4   0.1   2.6e-22   80.7   0.1   1.3   1   0   0   1   1   1   1 | AT5G40910
AT5G40910.9          -          NB-ARC               PF00931.23   1.6e-22   81.4   0.1   2.6e-22   80.7   0.1   1.3   1   0   0   1   1   1   1 | AT5G40910
AT3G04220.1          -          NB-ARC               PF00931.23   1.9e-22   81.1   0.0   3.2e-22   80.3   0.0   1.3   1   0   0   1   1   1   1 | AT3G04220
AT1G17600.1          -          NB-ARC               PF00931.23     2e-22   81.0   0.0   3.5e-22   80.2   0.0   1.4   1   0   0   1   1   1   1 | AT1G17600
AT3G04220.3          -          NB-ARC               PF00931.23     2e-22   81.0   0.0   3.4e-22   80.3   0.0   1.3   1   0   0   1   1   1   1 | AT3G04220
AT4G19510.10         -          NB-ARC               PF00931.23   4.1e-22   80.0   0.0     8e-22   79.1   0.0   1.4   1   0   0   1   1   1   1 | AT4G19510
AT5G66910.1          -          NB-ARC               PF00931.23   4.4e-22   79.9   0.0   1.5e-21   78.2   0.0   1.9   1   1   0   1   1   1   1 | AT5G66910
AT4G19510.3          -          NB-ARC               PF00931.23   4.6e-22   79.8   0.0   8.7e-22   78.9   0.0   1.4   1   0   0   1   1   1   1 | AT4G19510
AT5G40100.1          -          NB-ARC               PF00931.23   4.9e-22   79.7   0.0   1.1e-21   78.6   0.0   1.6   1   0   0   1   1   1   1 | AT5G40100
AT5G38850.1          -          NB-ARC               PF00931.23   5.6e-22   79.6   0.1   1.4e-21   78.3   0.0   1.6   2   0   0   2   2   1   1 | AT5G38850
AT1G72850.1          -          NB-ARC               PF00931.23   6.1e-22   79.4   0.0     1e-21   78.7   0.0   1.3   1   0   0   1   1   1   1 | AT1G72850
AT4G19510.2          -          NB-ARC               PF00931.23   6.2e-22   79.4   0.0   1.2e-21   78.5   0.0   1.4   1   0   0   1   1   1   1 | AT4G19510
AT4G19510.4          -          NB-ARC               PF00931.23   8.6e-22   79.0   0.0   1.6e-21   78.1   0.0   1.4   1   0   0   1   1   1   1 | AT4G19510
AT4G19510.5          -          NB-ARC               PF00931.23   8.6e-22   79.0   0.0   1.6e-21   78.1   0.0   1.4   1   0   0   1   1   1   1 | AT4G19510
AT4G19510.7          -          NB-ARC               PF00931.23   8.6e-22   79.0   0.0   1.6e-21   78.1   0.0   1.4   1   0   0   1   1   1   1 | AT4G19510
AT5G45230.1          -          NB-ARC               PF00931.23   8.7e-22   78.9   1.3   1.5e-21   78.1   1.3   1.3   1   0   0   1   1   1   1 | AT5G45230
AT4G19510.1          -          NB-ARC               PF00931.23   9.1e-22   78.9   0.0   1.5e-21   78.1   0.0   1.3   1   0   0   1   1   1   1 | AT4G19510
AT4G19510.8          -          NB-ARC               PF00931.23   9.1e-22   78.9   0.0   1.5e-21   78.1   0.0   1.3   1   0   0   1   1   1   1 | AT4G19510
AT5G17970.1          -          NB-ARC               PF00931.23   9.9e-22   78.7   0.0   1.7e-21   77.9   0.0   1.3   1   0   0   1   1   1   1 | AT5G17970
AT1G63750.1          -          NB-ARC               PF00931.23     1e-21   78.7   0.0   1.9e-21   77.8   0.0   1.4   1   0   0   1   1   1   1 | AT1G63750
AT1G63750.2          -          NB-ARC               PF00931.23     1e-21   78.7   0.0   1.9e-21   77.8   0.0   1.4   1   0   0   1   1   1   1 | AT1G63750
AT1G63750.3          -          NB-ARC               PF00931.23   1.3e-21   78.4   0.0   2.4e-21   77.5   0.0   1.4   1   0   0   1   1   1   1 | AT1G63750
AT5G45260.2          -          NB-ARC               PF00931.23   1.3e-21   78.3   0.0   2.6e-21   77.4   0.0   1.4   1   0   0   1   1   1   1 | AT5G45260
AT5G45260.3          -          NB-ARC               PF00931.23   1.3e-21   78.3   0.0   2.6e-21   77.4   0.0   1.4   1   0   0   1   1   1   1 | AT5G45260
AT5G66900.3          -          NB-ARC               PF00931.23   1.4e-21   78.3   0.0   2.7e-21   77.3   0.0   1.5   1   0   0   1   1   1   1 | AT5G66900
AT5G66900.1          -          NB-ARC               PF00931.23   1.4e-21   78.2   0.0   5.1e-21   76.4   0.0   1.9   2   0   0   2   2   1   1 | AT5G66900
AT5G45260.1          -          NB-ARC               PF00931.23   1.5e-21   78.2   0.0   2.9e-21   77.2   0.0   1.4   1   0   0   1   1   1   1 | AT5G45260
AT5G66900.2          -          NB-ARC               PF00931.23   1.7e-21   78.0   0.0   5.7e-21   76.3   0.0   1.9   2   0   0   2   2   1   1 | AT5G66900
AT1G72860.3          -          NB-ARC               PF00931.23   1.8e-21   77.9   0.0   4.1e-21   76.7   0.0   1.6   1   0   0   1   1   1   1 | AT1G72860
AT1G72860.1          -          NB-ARC               PF00931.23   1.9e-21   77.8   0.0   4.3e-21   76.7   0.0   1.6   1   0   0   1   1   1   1 | AT1G72860
AT1G72860.2          -          NB-ARC               PF00931.23   2.4e-21   77.5   0.0   5.2e-21   76.4   0.0   1.5   1   0   0   1   1   1   1 | AT1G72860
AT5G18350.1          -          NB-ARC               PF00931.23   2.7e-21   77.3   0.0   5.1e-21   76.4   0.0   1.4   1   0   0   1   1   1   1 | AT5G18350
AT5G49140.1          -          NB-ARC               PF00931.23   4.3e-21   76.6   0.3   7.6e-21   75.8   0.3   1.4   1   0   0   1   1   1   1 | AT5G49140
AT1G64070.1          -          NB-ARC               PF00931.23   5.2e-21   76.4   0.0   9.9e-21   75.5   0.0   1.4   1   0   0   1   1   1   1 | AT1G64070
AT5G47280.1          -          NB-ARC               PF00931.23   6.2e-21   76.1   0.0   1.3e-20   75.1   0.0   1.5   1   1   0   1   1   1   1 | AT5G47280
AT1G56510.1          -          NB-ARC               PF00931.23   1.4e-20   75.0   0.1   2.3e-20   74.3   0.1   1.3   1   0   0   1   1   1   1 | AT1G56510
AT3G04210.1          -          NB-ARC               PF00931.23   1.4e-20   75.0   0.0   2.2e-20   74.3   0.0   1.3   1   0   0   1   1   1   1 | AT3G04210
AT3G04210.2          -          NB-ARC               PF00931.23   1.4e-20   75.0   0.0   2.2e-20   74.3   0.0   1.3   1   0   0   1   1   1   1 | AT3G04210
AT3G51570.2          -          NB-ARC               PF00931.23   1.7e-20   74.7   0.1   4.8e-20   73.2   0.1   1.8   1   1   0   1   1   1   1 | AT3G51570
AT3G51570.1          -          NB-ARC               PF00931.23   1.8e-20   74.6   0.1     5e-20   73.2   0.1   1.8   1   1   0   1   1   1   1 | AT3G51570
AT4G19060.1          -          NB-ARC               PF00931.23   2.1e-20   74.4   2.9   6.4e-19   69.5   2.9   3.1   1   1   0   1   1   1   1 | AT4G19060
AT5G17890.1          -          NB-ARC               PF00931.23   3.7e-20   73.6   0.0   8.4e-20   72.4   0.0   1.5   1   0   0   1   1   1   1 | AT5G17890
AT4G19520.2          -          NB-ARC               PF00931.23   4.7e-20   73.3   0.0   1.1e-19   72.0   0.0   1.6   1   0   0   1   1   1   1 | AT4G19520
AT4G19520.4          -          NB-ARC               PF00931.23   4.7e-20   73.3   0.0   1.1e-19   72.0   0.0   1.6   1   0   0   1   1   1   1 | AT4G19520
AT4G19520.3          -          NB-ARC               PF00931.23   4.8e-20   73.2   0.0   9.9e-20   72.2   0.0   1.5   1   0   0   1   1   1   1 | AT4G19520
AT4G19520.5          -          NB-ARC               PF00931.23   4.9e-20   73.2   0.0     1e-19   72.2   0.0   1.5   1   0   0   1   1   1   1 | AT4G19520
AT2G14080.2          -          NB-ARC               PF00931.23   4.9e-20   73.2   0.0   8.7e-20   72.4   0.0   1.3   1   0   0   1   1   1   1 | AT2G14080
AT4G19520.1          -          NB-ARC               PF00931.23   5.1e-20   73.1   0.0   1.2e-19   71.9   0.0   1.6   1   0   0   1   1   1   1 | AT4G19520
AT1G56540.2          -          NB-ARC               PF00931.23   5.2e-20   73.1   0.0   1.1e-19   72.0   0.0   1.5   1   0   0   1   1   1   1 | AT1G56540
AT4G19500.2          -          NB-ARC               PF00931.23   5.3e-20   73.1   0.0     1e-19   72.2   0.0   1.4   1   0   0   1   1   1   1 | AT4G19500
AT2G14080.1          -          NB-ARC               PF00931.23   5.4e-20   73.1   0.0   1.1e-19   72.1   0.0   1.4   1   0   0   1   1   1   1 | AT2G14080
AT5G44870.1          -          NB-ARC               PF00931.23   5.4e-20   73.0   0.7   9.5e-20   72.3   0.7   1.4   1   0   0   1   1   1   1 | AT5G44870
AT1G56540.1          -          NB-ARC               PF00931.23   6.6e-20   72.8   0.0   1.5e-19   71.6   0.0   1.6   1   0   0   1   1   1   1 | AT1G56540
AT5G45200.3          -          NB-ARC               PF00931.23     7e-20   72.7   0.0   1.5e-19   71.6   0.0   1.5   1   0   0   1   1   1   1 | AT5G45200
AT3G25510.2          -          NB-ARC               PF00931.23   8.1e-20   72.5   0.1   1.7e-19   71.4   0.0   1.5   2   0   0   2   2   1   1 | AT3G25510
AT1G63730.1          -          NB-ARC               PF00931.23   8.6e-20   72.4   0.2   3.4e-19   70.4   0.0   2.0   2   0   0   2   2   1   1 | AT1G63730
AT4G14370.1          -          NB-ARC               PF00931.23   8.7e-20   72.4   0.0   2.1e-19   71.1   0.0   1.7   1   0   0   1   1   1   1 | AT4G14370
AT4G14370.2          -          NB-ARC               PF00931.23   9.4e-20   72.3   0.0   2.3e-19   71.0   0.0   1.7   1   0   0   1   1   1   1 | AT4G14370
AT4G14370.3          -          NB-ARC               PF00931.23   9.4e-20   72.3   0.0   2.3e-19   71.0   0.0   1.7   1   0   0   1   1   1   1 | AT4G14370
AT5G45200.1          -          NB-ARC               PF00931.23   1.1e-19   72.1   0.0   2.2e-19   71.1   0.0   1.5   1   0   0   1   1   1   1 | AT5G45200
AT3G44670.1          -          NB-ARC               PF00931.23   1.5e-19   71.6   0.0   3.9e-19   70.2   0.0   1.6   1   0   0   1   1   1   1 | AT3G44670
AT3G44670.2          -          NB-ARC               PF00931.23   1.5e-19   71.6   0.0   3.9e-19   70.2   0.0   1.6   1   0   0   1   1   1   1 | AT3G44670
AT5G44870.2          -          NB-ARC               PF00931.23   1.6e-19   71.6   0.7   2.6e-19   70.8   0.7   1.3   1   0   0   1   1   1   1 | AT5G44870
AT2G16870.1          -          NB-ARC               PF00931.23   1.8e-19   71.4   0.0     4e-19   70.2   0.0   1.6   1   0   0   1   1   1   1 | AT2G16870
AT5G18360.1          -          NB-ARC               PF00931.23     2e-19   71.2   0.0   3.8e-19   70.3   0.0   1.4   1   0   0   1   1   1   1 | AT5G18360
AT3G44480.2          -          NB-ARC               PF00931.23   2.5e-19   70.9   0.0   6.3e-19   69.6   0.0   1.6   1   0   0   1   1   1   1 | AT3G44480
AT1G72870.1          -          NB-ARC               PF00931.23   2.5e-19   70.9   0.0   7.8e-19   69.3   0.0   1.7   2   0   0   2   2   1   1 | AT1G72870
AT3G44480.1          -          NB-ARC               PF00931.23   2.5e-19   70.9   0.0   6.3e-19   69.6   0.0   1.6   1   0   0   1   1   1   1 | AT3G44480
AT3G44480.4          -          NB-ARC               PF00931.23   2.5e-19   70.9   0.0   6.3e-19   69.6   0.0   1.6   1   0   0   1   1   1   1 | AT3G44480
AT3G44480.3          -          NB-ARC               PF00931.23   2.7e-19   70.8   0.0   6.7e-19   69.5   0.0   1.6   1   0   0   1   1   1   1 | AT3G44480
AT3G44480.5          -          NB-ARC               PF00931.23   2.7e-19   70.8   0.0   6.7e-19   69.5   0.0   1.6   1   0   0   1   1   1   1 | AT3G44480
AT5G51630.5          -          NB-ARC               PF00931.23   3.8e-19   70.3   0.0   7.7e-19   69.3   0.0   1.5   1   0   0   1   1   1   1 | AT5G51630
AT4G08450.2          -          NB-ARC               PF00931.23   4.7e-19   70.0   0.0   8.6e-19   69.1   0.0   1.4   1   0   0   1   1   1   1 | AT4G08450
AT4G09420.1          -          NB-ARC               PF00931.23   4.7e-19   70.0   0.2   9.1e-19   69.0   0.2   1.4   1   0   0   1   1   1   1 | AT4G09420
AT5G11250.1          -          NB-ARC               PF00931.23   4.8e-19   70.0   0.0     9e-19   69.1   0.0   1.4   1   0   0   1   1   1   1 | AT5G11250
AT5G11250.3          -          NB-ARC               PF00931.23   4.8e-19   70.0   0.0     9e-19   69.1   0.0   1.4   1   0   0   1   1   1   1 | AT5G11250
AT4G08450.1          -          NB-ARC               PF00931.23   4.8e-19   70.0   0.0   8.8e-19   69.1   0.0   1.4   1   0   0   1   1   1   1 | AT4G08450
AT5G46260.1          -          NB-ARC               PF00931.23   4.8e-19   69.9   0.0   9.5e-19   69.0   0.0   1.5   1   0   0   1   1   1   1 | AT5G46260
AT3G44630.1          -          NB-ARC               PF00931.23   5.3e-19   69.8   0.0   1.9e-18   68.0   0.0   2.0   1   0   0   1   1   1   1 | AT3G44630
AT3G44630.2          -          NB-ARC               PF00931.23   5.3e-19   69.8   0.0   1.9e-18   68.0   0.0   2.0   1   0   0   1   1   1   1 | AT3G44630
AT3G44630.4          -          NB-ARC               PF00931.23   5.3e-19   69.8   0.0   1.9e-18   68.0   0.0   2.0   1   0   0   1   1   1   1 | AT3G44630
AT5G11250.2          -          NB-ARC               PF00931.23   5.4e-19   69.8   0.0     1e-18   68.9   0.0   1.4   1   0   0   1   1   1   1 | AT5G11250
AT3G44630.3          -          NB-ARC               PF00931.23   5.6e-19   69.7   0.0     2e-18   67.9   0.0   1.9   1   0   0   1   1   1   1 | AT3G44630
AT5G51630.4          -          NB-ARC               PF00931.23   6.5e-19   69.5   0.0   1.2e-18   68.6   0.0   1.4   1   0   0   1   1   1   1 | AT5G51630
AT5G51630.6          -          NB-ARC               PF00931.23   6.5e-19   69.5   0.0   1.2e-18   68.6   0.0   1.4   1   0   0   1   1   1   1 | AT5G51630
AT5G51630.2          -          NB-ARC               PF00931.23   6.5e-19   69.5   0.0   1.2e-18   68.6   0.0   1.4   1   0   0   1   1   1   1 | AT5G51630
AT5G51630.1          -          NB-ARC               PF00931.23   6.8e-19   69.5   0.0   1.3e-18   68.5   0.0   1.4   1   0   0   1   1   1   1 | AT5G51630
AT5G44510.4          -          NB-ARC               PF00931.23   9.7e-19   69.0   0.0   1.7e-18   68.1   0.0   1.4   1   0   0   1   1   1   1 | AT5G44510
AT1G65850.3          -          NB-ARC               PF00931.23   9.8e-19   68.9   0.0   2.1e-18   67.8   0.0   1.5   1   0   0   1   1   1   1 | AT1G65850
AT5G44510.2          -          NB-ARC               PF00931.23   9.9e-19   68.9   0.0   1.8e-18   68.1   0.0   1.4   1   0   0   1   1   1   1 | AT5G44510
AT5G44510.3          -          NB-ARC               PF00931.23     1e-18   68.9   0.0   1.8e-18   68.1   0.0   1.4   1   0   0   1   1   1   1 | AT5G44510
AT1G65850.1          -          NB-ARC               PF00931.23     1e-18   68.9   0.0   2.6e-18   67.5   0.0   1.6   1   0   0   1   1   1   1 | AT1G65850
AT1G65850.2          -          NB-ARC               PF00931.23     1e-18   68.9   0.0   2.7e-18   67.5   0.0   1.6   1   0   0   1   1   1   1 | AT1G65850
AT5G44510.1          -          NB-ARC               PF00931.23     1e-18   68.8   0.0   1.8e-18   68.0   0.0   1.4   1   0   0   1   1   1   1 | AT5G44510
AT5G18370.1          -          NB-ARC               PF00931.23   1.5e-18   68.3   0.0   3.5e-18   67.1   0.0   1.5   1   0   0   1   1   1   1 | AT5G18370
AT4G16960.1          -          NB-ARC               PF00931.23   2.3e-18   67.7   0.2     4e-18   66.9   0.2   1.3   1   0   0   1   1   1   1 | AT4G16960
AT4G16940.1          -          NB-ARC               PF00931.23   3.1e-18   67.3   0.2     5e-18   66.6   0.2   1.3   1   0   0   1   1   1   1 | AT4G16940
AT4G16940.4          -          NB-ARC               PF00931.23   3.1e-18   67.3   0.2     5e-18   66.6   0.2   1.3   1   0   0   1   1   1   1 | AT4G16940
AT1G66090.1          -          NB-ARC               PF00931.23   3.2e-18   67.2   0.1   1.4e-17   65.2   0.0   2.0   2   1   1   3   3   1   1 | AT1G66090
AT4G16940.6          -          NB-ARC               PF00931.23   3.5e-18   67.1   0.2   5.6e-18   66.5   0.2   1.3   1   0   0   1   1   1   1 | AT4G16940
AT4G16940.2          -          NB-ARC               PF00931.23   3.5e-18   67.1   0.2   5.7e-18   66.4   0.2   1.3   1   0   0   1   1   1   1 | AT4G16940
AT4G16940.3          -          NB-ARC               PF00931.23   3.5e-18   67.1   0.2   5.7e-18   66.4   0.2   1.3   1   0   0   1   1   1   1 | AT4G16940
AT4G16940.5          -          NB-ARC               PF00931.23   3.5e-18   67.1   0.2   5.7e-18   66.4   0.2   1.3   1   0   0   1   1   1   1 | AT4G16940
AT5G45060.1          -          NB-ARC               PF00931.23   4.5e-18   66.8   0.0   1.2e-17   65.4   0.0   1.7   1   0   0   1   1   1   1 | AT5G45060
AT5G45060.2          -          NB-ARC               PF00931.23   4.5e-18   66.8   0.0   1.2e-17   65.4   0.0   1.7   1   0   0   1   1   1   1 | AT5G45060
AT4G12020.11         -          NB-ARC               PF00931.23   5.3e-18   66.5   0.3   1.2e-17   65.4   0.3   1.5   1   0   0   1   1   1   1 | AT4G12020
AT5G38350.1          -          NB-ARC               PF00931.23   6.1e-18   66.3   0.0   1.1e-17   65.4   0.0   1.4   1   0   0   1   1   1   1 | AT5G38350
AT4G12020.6          -          NB-ARC               PF00931.23     9e-18   65.8   0.3   1.9e-17   64.7   0.3   1.5   1   0   0   1   1   1   1 | AT4G12020
AT4G12020.8          -          NB-ARC               PF00931.23     9e-18   65.8   0.3   1.9e-17   64.7   0.3   1.5   1   0   0   1   1   1   1 | AT4G12020
AT4G12020.7          -          NB-ARC               PF00931.23   9.2e-18   65.7   0.3   1.9e-17   64.7   0.3   1.5   1   0   0   1   1   1   1 | AT4G12020
AT4G12020.1          -          NB-ARC               PF00931.23   9.3e-18   65.7   0.3   1.9e-17   64.7   0.3   1.5   1   0   0   1   1   1   1 | AT4G12020
AT4G12020.9          -          NB-ARC               PF00931.23   9.3e-18   65.7   0.3   1.9e-17   64.7   0.3   1.5   1   0   0   1   1   1   1 | AT4G12020
AT4G12020.10         -          NB-ARC               PF00931.23   9.9e-18   65.6   0.3     2e-17   64.6   0.3   1.5   1   0   0   1   1   1   1 | AT4G12020
AT5G17880.2          -          NB-ARC               PF00931.23     1e-17   65.6   0.0   2.1e-17   64.5   0.0   1.5   1   0   0   1   1   1   1 | AT5G17880
AT4G12020.3          -          NB-ARC               PF00931.23     1e-17   65.6   0.3   2.1e-17   64.6   0.3   1.5   1   0   0   1   1   1   1 | AT4G12020
AT4G12020.4          -          NB-ARC               PF00931.23     1e-17   65.6   0.3   2.1e-17   64.6   0.3   1.5   1   0   0   1   1   1   1 | AT4G12020
AT4G12020.2          -          NB-ARC               PF00931.23     1e-17   65.6   0.3   2.1e-17   64.6   0.3   1.5   1   0   0   1   1   1   1 | AT4G12020
AT5G17880.1          -          NB-ARC               PF00931.23     1e-17   65.6   0.0   2.2e-17   64.5   0.0   1.5   1   0   0   1   1   1   1 | AT5G17880
AT4G12020.5          -          NB-ARC               PF00931.23   1.1e-17   65.4   0.3     2e-17   64.7   0.3   1.3   1   0   0   1   1   1   1 | AT4G12020
AT5G46450.3          -          NB-ARC               PF00931.23   1.2e-17   65.3   0.0   3.5e-17   63.9   0.0   1.8   1   0   0   1   1   1   1 | AT5G46450
AT5G46450.1          -          NB-ARC               PF00931.23   1.3e-17   65.2   0.0   3.7e-17   63.8   0.0   1.8   1   0   0   1   1   1   1 | AT5G46450
AT4G16900.3          -          NB-ARC               PF00931.23   2.1e-17   64.6   0.0   3.4e-17   63.9   0.0   1.3   1   0   0   1   1   1   1 | AT4G16900
AT4G09360.1          -          NB-ARC               PF00931.23     3e-17   64.1   0.0   4.5e-17   63.5   0.0   1.2   1   0   0   1   1   1   1 | AT4G09360
AT4G16920.1          -          NB-ARC               PF00931.23   3.4e-17   63.9   0.1   7.8e-17   62.7   0.1   1.6   1   0   0   1   1   1   1 | AT4G16920
AT4G16900.2          -          NB-ARC               PF00931.23   3.4e-17   63.9   0.0   5.7e-17   63.2   0.0   1.3   1   0   0   1   1   1   1 | AT4G16900
AT4G16920.9          -          NB-ARC               PF00931.23   3.5e-17   63.9   0.1   7.8e-17   62.7   0.1   1.6   1   0   0   1   1   1   1 | AT4G16920
AT4G16860.2          -          NB-ARC               PF00931.23   3.5e-17   63.9   0.4   1.9e-16   61.5   0.2   2.0   2   0   0   2   2   1   1 | AT4G16860
AT4G16920.6          -          NB-ARC               PF00931.23   3.5e-17   63.8   0.1   7.9e-17   62.7   0.1   1.6   1   0   0   1   1   1   1 | AT4G16920
AT4G16920.4          -          NB-ARC               PF00931.23   3.6e-17   63.8   0.1     8e-17   62.7   0.1   1.6   1   0   0   1   1   1   1 | AT4G16920
AT4G16920.7          -          NB-ARC               PF00931.23   3.6e-17   63.8   0.1     8e-17   62.7   0.1   1.6   1   0   0   1   1   1   1 | AT4G16920
AT4G16920.3          -          NB-ARC               PF00931.23   3.8e-17   63.7   0.1   8.4e-17   62.6   0.1   1.6   1   0   0   1   1   1   1 | AT4G16920
AT4G16920.5          -          NB-ARC               PF00931.23   3.8e-17   63.7   0.1   8.4e-17   62.6   0.1   1.6   1   0   0   1   1   1   1 | AT4G16920
AT4G16920.2          -          NB-ARC               PF00931.23   3.8e-17   63.7   0.1   8.4e-17   62.6   0.1   1.6   1   0   0   1   1   1   1 | AT4G16920
AT4G16920.8          -          NB-ARC               PF00931.23   3.8e-17   63.7   0.1   8.4e-17   62.6   0.1   1.6   1   0   0   1   1   1   1 | AT4G16920
AT4G16900.1          -          NB-ARC               PF00931.23   4.2e-17   63.6   0.0   7.2e-17   62.8   0.0   1.3   1   0   0   1   1   1   1 | AT4G16900
AT5G38340.2          -          NB-ARC               PF00931.23     5e-17   63.3   0.0   8.9e-17   62.5   0.0   1.4   1   0   0   1   1   1   1 | AT5G38340
AT4G16860.1          -          NB-ARC               PF00931.23   5.1e-17   63.3   0.4   2.4e-16   61.1   0.2   2.0   2   0   0   2   2   1   1 | AT4G16860
AT5G38340.1          -          NB-ARC               PF00931.23   5.8e-17   63.1   0.0   1.3e-16   62.0   0.0   1.6   1   0   0   1   1   1   1 | AT5G38340
AT5G38340.3          -          NB-ARC               PF00931.23   5.8e-17   63.1   0.0   1.3e-16   62.0   0.0   1.6   1   0   0   1   1   1   1 | AT5G38340
AT5G40090.1          -          NB-ARC               PF00931.23   8.4e-17   62.6   0.0     3e-16   60.8   0.0   1.9   1   1   0   1   1   1   1 | AT5G40090
AT4G16890.4          -          NB-ARC               PF00931.23   1.3e-16   62.0   0.1   2.4e-16   61.1   0.1   1.4   1   0   0   1   1   1   1 | AT4G16890
AT4G16890.2          -          NB-ARC               PF00931.23   1.6e-16   61.7   0.1     3e-16   60.8   0.1   1.4   1   0   0   1   1   1   1 | AT4G16890
AT4G16890.3          -          NB-ARC               PF00931.23   1.9e-16   61.4   0.1   3.5e-16   60.5   0.1   1.4   1   0   0   1   1   1   1 | AT4G16890
AT4G16890.5          -          NB-ARC               PF00931.23     2e-16   61.4   0.1   3.8e-16   60.4   0.1   1.4   1   0   0   1   1   1   1 | AT4G16890
AT4G16890.1          -          NB-ARC               PF00931.23     2e-16   61.3   0.1   3.8e-16   60.4   0.1   1.4   1   0   0   1   1   1   1 | AT4G16890
AT5G45240.2          -          NB-ARC               PF00931.23   3.7e-16   60.5   0.0   7.1e-16   59.6   0.0   1.4   1   0   0   1   1   1   1 | AT5G45240
AT5G45240.1          -          NB-ARC               PF00931.23   3.7e-16   60.5   0.0   7.1e-16   59.6   0.0   1.4   1   0   0   1   1   1   1 | AT5G45240
AT4G16950.5          -          NB-ARC               PF00931.23   1.1e-15   58.9   0.1   2.3e-15   57.9   0.1   1.5   1   0   0   1   1   1   1 | AT4G16950
AT4G16950.6          -          NB-ARC               PF00931.23   1.1e-15   58.9   0.1   2.4e-15   57.9   0.1   1.5   1   0   0   1   1   1   1 | AT4G16950
AT4G16950.4          -          NB-ARC               PF00931.23   1.2e-15   58.8   0.1   2.4e-15   57.8   0.1   1.5   1   0   0   1   1   1   1 | AT4G16950
AT4G16950.2          -          NB-ARC               PF00931.23   1.2e-15   58.8   0.1   2.5e-15   57.8   0.1   1.5   1   0   0   1   1   1   1 | AT4G16950
AT4G16950.3          -          NB-ARC               PF00931.23   1.3e-15   58.7   0.1   2.6e-15   57.7   0.1   1.5   1   0   0   1   1   1   1 | AT4G16950
AT4G16950.1          -          NB-ARC               PF00931.23   1.3e-15   58.7   0.1   2.6e-15   57.7   0.1   1.5   1   0   0   1   1   1   1 | AT4G16950
AT5G22690.3          -          NB-ARC               PF00931.23   1.8e-15   58.2   0.0     3e-15   57.5   0.0   1.4   1   0   0   1   1   1   1 | AT5G22690
AT5G22690.4          -          NB-ARC               PF00931.23   1.9e-15   58.1   0.0   3.3e-15   57.4   0.0   1.4   1   0   0   1   1   1   1 | AT5G22690
AT1G17610.1          -          NB-ARC               PF00931.23   2.2e-15   57.9   0.1   5.2e-15   56.7   0.1   1.6   1   0   0   1   1   1   1 | AT1G17610
AT1G17610.2          -          NB-ARC               PF00931.23   2.2e-15   57.9   0.1   5.2e-15   56.7   0.1   1.6   1   0   0   1   1   1   1 | AT1G17610
AT5G22690.1          -          NB-ARC               PF00931.23   2.3e-15   57.9   0.0     4e-15   57.1   0.0   1.4   1   0   0   1   1   1   1 | AT5G22690
AT5G22690.2          -          NB-ARC               PF00931.23   2.4e-15   57.9   0.0     4e-15   57.1   0.0   1.4   1   0   0   1   1   1   1 | AT5G22690
AT3G44400.1          -          NB-ARC               PF00931.23   2.8e-15   57.6   0.0   6.4e-15   56.4   0.0   1.5   1   0   0   1   1   1   1 | AT3G44400
AT3G44400.2          -          NB-ARC               PF00931.23   2.8e-15   57.6   0.0   6.4e-15   56.4   0.0   1.5   1   0   0   1   1   1   1 | AT3G44400
AT3G44400.3          -          NB-ARC               PF00931.23   2.8e-15   57.6   0.0   6.4e-15   56.4   0.0   1.5   1   0   0   1   1   1   1 | AT3G44400
AT3G44400.4          -          NB-ARC               PF00931.23   2.8e-15   57.6   0.0   6.4e-15   56.4   0.0   1.5   1   0   0   1   1   1   1 | AT3G44400
AT3G44400.5          -          NB-ARC               PF00931.23   2.8e-15   57.6   0.0   6.4e-15   56.4   0.0   1.5   1   0   0   1   1   1   1 | AT3G44400
